trade_date,symbol,shares,available_shares,average_cost,close,market_value
2019-01-02,SH600306,155700,0,6.422497498607635,6.440573215484619,1002797.2496509552
2019-01-02,SZ002072,160200,0,6.243497319602966,6.151601791381836,985486.6069793701
2019-01-02,SZ002200,178200,0,5.610363806295394,5.648672103881836,1006593.3689117432
2019-01-02,SZ300029,215000,0,4.651178069400787,4.649783134460449,999703.3739089966
2019-01-02,SZ300069,103700,0,9.644650492477417,9.681764602661133,1003998.9892959595
2019-01-02,SZ300106,189500,0,5.276263018655777,5.204751014709473,986300.3172874451
2019-01-02,SZ300321,83000,0,12.038509227561951,12.073226928710938,1002077.8350830078
2019-01-02,SZ300354,126000,0,7.93487248082161,7.9616923332214355,1003173.2339859009
2019-01-02,SZ300489,128400,0,7.7902973944664,7.801296234130859,1001686.4364624023
2019-01-02,SZ300592,110100,0,9.079622598361968,9.04690933227539,996064.7174835205
2019-01-03,SH600306,155700,155700,6.422497498607635,6.498753547668457,1011855.9273719788
2019-01-03,SZ002072,160200,160200,6.243497319602966,6.160634994506836,986933.7261199951
2019-01-03,SZ002200,178200,178200,5.610363806295394,5.692759037017822,1014449.6603965759
2019-01-03,SZ300029,215000,215000,4.651178069400787,4.6693196296691895,1003903.7203788757
2019-01-03,SZ300069,103700,103700,9.644650492477417,10.651432991027832,1104553.6011695862
2019-01-03,SZ300106,189500,189500,5.276263018655777,5.2375264167785645,992511.255979538
2019-01-03,SZ300321,83000,83000,12.038509227561951,12.027056694030762,998245.7056045532
2019-01-03,SZ300354,126000,126000,7.93487248082161,8.068294525146484,1016605.110168457
2019-01-03,SZ300489,128400,128400,7.7902973944664,7.954132556915283,1021310.6203079224
2019-01-03,SZ300592,110100,110100,9.079622598361968,9.017183303833008,992791.8817520142
2019-01-04,SH600306,155700,155700,6.422497498607635,6.632568359375,1032690.8935546875
2019-01-04,SZ002072,160200,160200,6.243497319602966,6.4316301345825195,1030347.1475601196
2019-01-04,SZ002200,178200,178200,5.610363806295394,5.830531597137451,1039000.7306098938
2019-01-04,SZ300029,215000,215000,4.651178069400787,4.8060784339904785,1033306.8633079529
2019-01-04,SZ300069,103700,103700,9.644650492477417,10.721049308776855,1111772.81332016
2019-01-04,SZ300106,189500,189500,5.276263018655777,5.394848823547363,1022323.8520622253
2019-01-04,SZ300321,83000,83000,12.038509227561951,12.553385734558105,1041931.0159683228
2019-01-04,SZ300354,126000,126000,7.93487248082161,8.263225555419922,1041166.4199829102
2019-01-04,SZ300489,128400,128400,7.7902973944664,8.09367847442627,1039228.316116333
2019-01-04,SZ300592,110100,110100,9.079622598361968,9.254998207092285,1018975.3026008606
2019-01-07,SH600306,155700,155700,6.422497498607635,6.748929500579834,1050808.3232402802
2019-01-07,SZ002072,160200,160200,6.243497319602966,6.5400285720825195,1047712.5772476196
2019-01-07,SZ002200,178200,178200,5.610363806295394,5.979325771331787,1065515.8524513245
2019-01-07,SZ300029,215000,215000,4.651178069400787,4.874457836151123,1048008.4347724915
2019-01-07,SZ300069,103700,103700,9.644650492477417,11.138752937316895,1155088.679599762
2019-01-07,SZ300106,189500,189500,5.276263018655777,5.598056793212891,1060831.7623138428
2019-01-07,SZ300321,83000,83000,12.038509227561951,12.742679595947266,1057642.406463623
2019-01-07,SZ300354,126000,126000,7.93487248082161,8.5038423538208,1071484.136581421
2019-01-07,SZ300489,128400,128400,7.7902973944664,8.901053428649902,1142895.2602386475
2019-01-07,SZ300592,110100,110100,9.079622598361968,9.403633117675781,1035340.0062561035
2019-01-08,SH600306,155700,155700,6.422497498607635,6.7722015380859375,1054431.7794799805
2019-01-08,SZ002072,160200,160200,6.243497319602966,6.549062252044678,1049159.7727775574
2019-01-08,SZ002200,178200,178200,5.610363806295394,6.07301139831543,1082210.6311798096
2019-01-08,SZ300029,215000,215000,4.651178069400787,4.874457836151123,1048008.4347724915
2019-01-08,SZ300069,103700,103700,9.644650492477417,10.711104393005371,1110741.525554657
2019-01-08,SZ300106,189500,189500,5.276263018655777,5.696383953094482,1079464.7591114044
2019-01-08,SZ300321,83000,83000,12.038509227561951,12.784231185913086,1061091.1884307861
2019-01-08,SZ300354,126000,126000,7.93487248082161,8.339369773864746,1050760.591506958
2019-01-08,SZ300489,128400,128400,7.7902973944664,8.714991569519043,1119004.9175262451
2019-01-08,SZ300592,110100,110100,9.079622598361968,9.453178405761719,1040794.9424743652
2019-01-09,SH600306,155700,155700,6.422497498607635,6.748929500579834,1050808.3232402802
2019-01-09,SZ002072,160200,160200,6.243497319602966,6.549062252044678,1049159.7727775574
2019-01-09,SZ002200,178200,178200,5.610363806295394,6.012391090393066,1071408.0923080444
2019-01-09,SZ300029,215000,215000,4.651178069400787,4.884225845336914,1050108.5567474365
2019-01-09,SZ300069,103700,103700,9.644650492477417,10.721049308776855,1111772.81332016
2019-01-09,SZ300106,189500,189500,5.276263018655777,5.584947109222412,1058347.477197647
2019-01-09,SZ300321,83000,83000,12.038509227561951,12.733445167541504,1056875.9489059448
2019-01-09,SZ300354,126000,126000,7.93487248082161,8.34850788116455,1051911.9930267334
2019-01-09,SZ300489,128400,128400,7.7902973944664,8.588735580444336,1102793.6485290527
2019-01-09,SZ300592,110100,110100,9.079622598361968,9.492815017700195,1045158.9334487915
2019-01-10,SH600306,155700,155700,6.422497498607635,6.778019905090332,1055337.6992225647
2019-01-10,SZ002072,160200,160200,6.243497319602966,6.404531002044678,1026005.8665275574
2019-01-10,SZ002200,178200,178200,5.610363806295394,6.050967693328857,1078282.4429512024
2019-01-10,SZ300029,215000,215000,4.651178069400787,4.9916791915893555,1073211.0261917114
2019-01-10,SZ300069,103700,103700,9.644650492477417,11.08902645111084,1149932.042980194
2019-01-10,SZ300106,189500,189500,5.276263018655777,5.637387752532959,1068284.9791049957
2019-01-10,SZ300321,83000,83000,12.038509227561951,12.714977264404297,1055343.1129455566
2019-01-10,SZ300354,126000,126000,7.93487248082161,8.34850788116455,1051911.9930267334
2019-01-10,SZ300489,128400,128400,7.7902973944664,8.47244644165039,1087862.1231079102
2019-01-10,SZ300592,110100,110100,9.079622598361968,9.453178405761719,1040794.9424743652
2019-01-11,SH600306,155700,155700,6.422497498607635,6.731475353240967,1048090.7124996185
2019-01-11,SZ002072,160200,160200,6.243497319602966,6.449697017669678,1033241.4622306824
2019-01-11,SZ002200,178200,178200,5.610363806295394,6.08954381942749,1085156.7086219788
2019-01-11,SZ300029,215000,215000,4.651178069400787,5.011215686798096,1077411.3726615906
2019-01-11,SZ300069,103700,103700,9.644650492477417,10.840394020080566,1124148.8598823547
2019-01-11,SZ300106,189500,189500,5.276263018655777,5.676718711853027,1075738.1958961487
2019-01-11,SZ300321,83000,83000,12.038509227561951,12.811932563781738,1063390.4027938843
2019-01-11,SZ300354,126000,126000,7.93487248082161,8.418560981750488,1060738.6837005615
2019-01-11,SZ300489,128400,128400,7.7902973944664,8.548866271972656,1097674.429321289
2019-01-11,SZ300592,110100,110100,9.079622598361968,9.522541046142578,1048431.7691802979
2019-01-14,SH600306,155700,155700,6.422497498607635,6.6092963218688965,1029067.4373149872
2019-01-14,SZ002072,160200,160200,6.243497319602966,6.250966548919678,1001404.8411369324
2019-01-14,SZ002200,178200,178200,5.610363806295394,5.979325771331787,1065515.8524513245
2019-01-14,SZ300029,215000,215000,4.651178069400787,4.93306827545166,1060609.679222107
2019-01-14,SZ300069,103700,103700,9.644650492477417,10.512198448181152,1090114.9790763855
2019-01-14,SZ300106,189500,189500,5.276263018655777,5.624277591705322,1065800.6036281586
2019-01-14,SZ300321,83000,83000,12.038509227561951,12.645724296569824,1049595.1166152954
2019-01-14,SZ300354,126000,126000,7.93487248082161,8.299775123596191,1045771.6655731201
2019-01-14,SZ300489,128400,128400,7.7902973944664,8.359480857849121,1073357.3421478271
2019-01-14,SZ300592,110100,110100,9.079622598361968,9.39372444152832,1034249.0610122681
2019-01-15,SH600306,155700,155700,6.422497498607635,6.679112911224365,1039937.8802776337
2019-01-15,SZ002072,160200,160200,6.243497319602966,6.314198970794678,1011534.6751213074
2019-01-15,SZ002200,178200,178200,5.610363806295394,6.039945602416992,1076318.306350708
2019-01-15,SZ300029,215000,215000,4.651178069400787,4.9916791915893555,1073211.0261917114
2019-01-15,SZ300069,103700,103700,9.644650492477417,10.820503234863281,1122086.1854553223
2019-01-15,SZ300106,189500,189500,5.276263018655777,5.716048717498779,1083191.2319660187
2019-01-15,SZ300321,83000,83000,12.038509227561951,12.895036697387695,1070288.0458831787
2019-01-15,SZ300354,126000,126000,7.93487248082161,8.494705200195312,1070332.8552246094
2019-01-15,SZ300489,128400,128400,7.7902973944664,8.45915699005127,1086155.757522583
2019-01-15,SZ300592,110100,110100,9.079622598361968,9.611721992492676,1058250.5913734436
2019-01-16,SH600306,155700,155700,6.422497498607635,6.760565757751465,1052620.088481903
2019-01-16,SZ002072,160200,160200,6.243497319602966,6.449697017669678,1033241.4622306824
2019-01-16,SZ002200,178200,178200,5.610363806295394,6.012391090393066,1071408.0923080444
2019-01-16,SZ300029,215000,215000,4.651178069400787,4.9526047706604,1064810.025691986
2019-01-16,SZ300069,103700,103700,9.644650492477417,10.601706504821777,1099396.9645500183
2019-01-16,SZ300106,189500,189500,5.276263018655777,5.657052993774414,1072011.5423202515
2019-01-16,SZ300321,83000,83000,12.038509227561951,12.97352409362793,1076802.4997711182
2019-01-16,SZ300354,126000,126000,7.93487248082161,8.5038423538208,1071484.136581421
2019-01-16,SZ300489,128400,128400,7.7902973944664,8.399351119995117,1078476.683807373
2019-01-16,SZ300592,110100,110100,9.079622598361968,9.46308708190918,1041885.8877182007
2019-01-17,SH600306,155700,155700,6.422497498607635,6.650022983551025,1035408.5785388947
2019-01-17,SZ002072,160200,160200,6.243497319602966,6.260000228881836,1002852.0366668701
2019-01-17,SZ002200,178200,178200,5.610363806295394,5.929727554321289,1056677.4501800537
2019-01-17,SZ300029,215000,215000,4.651178069400787,4.9526047706604,1064810.025691986
2019-01-17,SZ300069,103700,103700,9.644650492477417,10.711104393005371,1110741.525554657
2019-01-17,SZ300106,189500,189500,5.276263018655777,5.578392028808594,1057105.2894592285
2019-01-17,SZ300321,83000,83000,12.038509227561951,12.908888816833496,1071437.7717971802
2019-01-17,SZ300354,126000,126000,7.93487248082161,8.339369773864746,1050760.591506958
2019-01-17,SZ300489,128400,128400,7.7902973944664,8.332901000976562,1069944.4885253906
2019-01-17,SZ300592,110100,110100,9.079622598361968,9.235180854797363,1016793.4121131897
2019-01-18,SH600306,155700,155700,6.422497498607635,6.719839096069336,1046278.9472579956
2019-01-18,SZ002072,160200,160200,6.243497319602966,6.196767330169678,992722.1262931824
2019-01-18,SZ002200,178200,178200,5.610363806295394,5.96830415725708,1063551.8008232117
2019-01-18,SZ300029,215000,215000,4.651178069400787,4.972142219543457,1069010.5772018433
2019-01-18,SZ300069,103700,103700,9.644650492477417,10.457499504089355,1084442.6985740662
2019-01-18,SZ300106,189500,189500,5.276263018655777,5.657052993774414,1072011.5423202515
2019-01-18,SZ300321,83000,83000,12.038509227561951,12.982759475708008,1077569.0364837646
2019-01-18,SZ300354,126000,126000,7.93487248082161,8.369828224182129,1054598.3562469482
2019-01-18,SZ300489,128400,128400,7.7902973944664,8.312966346740723,1067384.8789215088
2019-01-18,SZ300592,110100,110100,9.079622598361968,9.324361801147461,1026612.2343063354
2019-01-21,SH600306,155700,155700,6.422497498607635,6.737293243408203,1048996.5579986572
2019-01-21,SZ002072,160200,160200,6.243497319602966,6.178701400756836,989827.9644012451
2019-01-21,SZ002200,178200,178200,5.610363806295394,6.0619893074035645,1080246.4945793152
2019-01-21,SZ300029,215000,215000,4.651178069400787,4.9526047706604,1064810.025691986
2019-01-21,SZ300069,103700,103700,9.644650492477417,10.477389335632324,1086505.274105072
2019-01-21,SZ300106,189500,189500,5.276263018655777,5.624277591705322,1065800.6036281586
2019-01-21,SZ300321,83000,83000,12.038509227561951,12.991991996765137,1078335.3357315063
2019-01-21,SZ300354,126000,126000,7.93487248082161,8.378965377807617,1055749.6376037598
2019-01-21,SZ300489,128400,128400,7.7902973944664,8.359480857849121,1073357.3421478271
2019-01-21,SZ300592,110100,110100,9.079622598361968,9.334270477294922,1027703.1795501709
2019-01-22,SH600306,155700,155700,6.422497498607635,6.556934356689453,1020914.6793365479
