comparison,execution_date,local_count,joinquant_count,intersection_count,overlap_ratio,local_only,joinquant_only
selected_candidates,2023-06-01,20,20,18,0.9,"SZ002233,SZ300146","SZ000915,SZ003019"
holdings,2019-01-02,20,20,17,0.85,"SZ000415,SZ000519,SZ002394","SH600668,SH600720,SZ300159"
holdings,2019-02-01,20,20,14,0.7,"SH600383,SZ000415,SZ000519,SZ000922,SZ002394,SZ002396","SH600720,SZ001914,SZ002359,SZ002541,SZ300061,SZ300159"
holdings,2019-03-01,20,20,16,0.8,"SH600782,SH600801,SZ000415,SZ000922","SH600720,SZ001914,SZ002530,SZ300159"
holdings,2019-04-01,20,20,18,0.9,"SH603277,SZ002394","SH600823,SZ300061"
holdings,2019-05-06,21,20,18,0.8571428571428571,"SH600327,SH600328,SH601222","SH600677,SH603585"
holdings,2019-06-03,20,20,19,0.95,SH600426,SH600677
holdings,2019-07-01,20,20,19,0.95,SH603167,SH600677
holdings,2019-08-01,20,20,20,1.0,,
holdings,2019-09-02,20,20,16,0.8,"SH601006,SH601677,SZ000719,SZ002048","SH600328,SH600376,SH600387,SH600823"
holdings,2019-10-08,20,20,17,0.85,"SH600516,SH601006,SZ002884","SH600376,SH600387,SZ002444"
holdings,2019-11-01,20,20,18,0.9,"SH600252,SH600328","SZ000932,SZ300625"
holdings,2019-12-02,20,20,18,0.9,"SH600252,SH600328","SH603585,SZ000932"
holdings,2020-01-02,20,20,18,0.9,"SH600328,SZ000069","SH603458,SH603585"
holdings,2020-02-03,20,21,19,0.9047619047619048,SZ000069,"SH603585,SZ300107"
holdings,2020-03-02,20,20,17,0.85,"SH600252,SZ000069,SZ002793","SH600516,SH600750,SZ002884"
holdings,2020-04-01,20,20,16,0.8,"SH600051,SH600971,SZ002793,SZ002884","SH600516,SH603277,SH603808,SZ002664"
holdings,2020-05-06,20,20,18,0.9,"SH600643,SZ002128","SH600035,SH600682"
holdings,2020-06-01,20,20,18,0.9,"SH600273,SH600643","SH600035,SH600682"
holdings,2020-07-01,20,20,19,0.95,SH600643,SZ002746
holdings,2020-08-03,20,20,20,1.0,,
holdings,2020-09-01,20,20,20,1.0,,
holdings,2020-10-09,20,20,19,0.95,SH600987,SH603012
holdings,2020-11-02,20,20,18,0.9,"SH600287,SH603556","SH600067,SZ000791"
holdings,2020-12-01,20,20,19,0.95,SH600287,SH600023
holdings,2021-01-04,20,20,18,0.9,"SH600287,SH600643","SH600067,SH600368"
holdings,2021-02-01,20,20,17,0.85,"SH600287,SH600643,SZ002157","SH600023,SZ002033,SZ300552"
holdings,2021-03-01,20,20,17,0.85,"SH600287,SH600643,SZ002154","SH600023,SH600067,SZ002432"
holdings,2021-04-01,20,20,18,0.9,"SH600287,SH600668","SZ000581,SZ300259"
holdings,2021-05-06,20,20,18,0.9,"SZ002763,SZ300677","SH600750,SZ002531"
holdings,2021-06-01,20,20,19,0.95,SZ300403,SZ002128
holdings,2021-07-01,20,20,20,1.0,,
holdings,2021-08-02,20,20,14,0.7,"SH600566,SH600966,SH603199,SH603238,SZ000698,SZ300192","SH600089,SH600707,SH603089,SH603900,SZ002022,SZ002035"
holdings,2021-09-01,20,20,16,0.8,"SH600668,SH600966,SH603766,SZ000731","SH601019,SZ000923,SZ002467,SZ002763"
holdings,2021-10-08,20,20,16,0.8,"SH600075,SH600368,SH600668,SZ002233","SZ000725,SZ000923,SZ002110,SZ002467"
holdings,2021-11-01,20,20,15,0.75,"SH601233,SZ002214,SZ002801,SZ300371,SZ300888","SH600033,SH601019,SZ000026,SZ000666,SZ002131"
holdings,2021-12-01,20,20,16,0.8,"SH600012,SH600089,SH600461,SH601900","SZ000026,SZ000666,SZ000725,SZ002255"
holdings,2022-01-04,20,20,15,0.75,"SH600461,SH601900,SZ000807,SZ002932,SZ300371","SH688399,SZ000666,SZ000725,SZ000833,SZ002818"
holdings,2022-02-07,20,20,15,0.75,"SH600461,SH601900,SZ000807,SZ002759,SZ002932","SH603012,SH688399,SZ000666,SZ000725,SZ002255"
holdings,2022-03-01,20,20,16,0.8,"SH600461,SH600585,SH601900,SZ002932","SH600097,SH688399,SZ000666,SZ000725"
holdings,2022-04-01,20,20,16,0.8,"SH600461,SH601900,SZ000715,SZ002064","SH600097,SH601811,SZ002109,SZ002255"
holdings,2022-05-05,20,20,18,0.9,"SZ002408,SZ300360","SH601668,SH688057"
holdings,2022-06-01,20,20,19,0.95,SZ300360,SH600035
holdings,2022-07-01,20,20,17,0.85,"SZ000731,SZ000848,SZ002763","SH600746,SH601339,SH688057"
holdings,2022-08-01,20,20,18,0.9,"SH601919,SZ002932","SH601827,SH688298"
holdings,2022-09-01,20,20,19,0.95,SH600643,SH603889
holdings,2022-10-10,20,20,18,0.9,"SH600643,SZ300371","SH601019,SZ000833"
holdings,2022-11-01,20,20,19,0.95,SZ002772,SZ000666
holdings,2022-12-01,20,20,18,0.9,"SH600141,SZ002772","SZ000666,SZ000726"
