trade_date,cash,positions_value,total_value,daily_return,cash_ratio,risk_weight,active_weight,gross_traded,transaction_cost,holdings,unattributed_pnl
2014-01-02,1000000.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
2014-01-03,1000000.0,0.0,1000000.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
2014-01-06,4744.154099507607,984474.8609177554,989219.015017263,-0.01078098498273694,0.004795858174465859,0.0,0.0,993963.6930994631,1292.152801029302,SH510300;SH511010;SH518880,3.092281986027956e-11
2014-01-07,4744.154099507607,985919.0641955165,990663.2182950241,0.0014599429002442044,0.004788866702523294,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,3.8198777474462986e-11
2014-01-08,4744.154099507607,984115.8656422696,988860.0197417772,-0.0018201933007568893,0.004797599260557076,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,-7.412381819449365e-11
2014-01-09,4744.154099507607,981409.696843497,986153.8509430046,-0.002736655082363759,0.004810764664125211,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,1.4733814168721437e-10
2014-01-10,4744.154099507607,980252.9609736796,984997.1150731872,-0.0011729770853821098,0.0048164142076244625,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,-6.707523425575346e-11
2014-01-13,4744.154099507607,979617.4635385338,984361.6176380414,-0.0006451769506944371,0.004819523653198834,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,-8.29913915367797e-12
2014-01-14,4744.154099507607,982427.2718194005,987171.4259189081,0.0028544472178921865,0.0048058057343905725,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,-2.546585164964199e-11
2014-01-15,4744.154099507607,981013.6310236636,985757.7851231712,-0.001432011460847371,0.004812697572471944,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,-2.1600499167107046e-11
2014-01-16,4744.154099507607,981422.6638596479,986166.8179591555,0.0004149425367543369,0.0048107014078262135,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,5.633182809106074e-11
2014-01-17,4744.154099507607,975194.6531604386,979938.8072599462,-0.006315372395207963,0.004841275867799299,0.0,0.0,0.0,0.0,SH510300;SH511010;SH518880,-6.366462912410498e-11
