execution_date,reported_holding_count,symbol,total_value
2019-01-02,20,SZ000636,9904950.9997
2019-01-02,20,SZ000791,9904950.9997
2019-01-02,20,SZ000910,9904950.9997
2019-01-02,20,SZ002396,9904950.9997
2019-01-02,20,SZ002530,9904950.9997
2019-01-02,20,SZ002541,9904950.9997
2019-01-02,20,SZ002884,9904950.9997
2019-01-02,20,SZ300061,9904950.9997
2019-01-02,20,SZ300145,9904950.9997
2019-01-02,20,SZ300159,9904950.9997
2019-01-02,20,SH600097,9904950.9997
2019-01-02,20,SH600230,9904950.9997
2019-01-02,20,SH600382,9904950.9997
2019-01-02,20,SH600383,9904950.9997
2019-01-02,20,SH600596,9904950.9997
2019-01-02,20,SH600668,9904950.9997
2019-01-02,20,SH600720,9904950.9997
2019-01-02,20,SH601126,9904950.9997
2019-01-02,20,SH603669,9904950.9997
2019-01-02,20,SH603980,9904950.9997
2019-02-01,20,SZ000636,10334828.5349
2019-02-01,20,SZ000791,10334828.5349
2019-02-01,20,SZ000910,10334828.5349
2019-02-01,20,SZ001914,10334828.5349
2019-02-01,20,SZ002359,10334828.5349
2019-02-01,20,SZ002517,10334828.5349
2019-02-01,20,SZ002530,10334828.5349
2019-02-01,20,SZ002541,10334828.5349
2019-02-01,20,SZ002884,10334828.5349
2019-02-01,20,SZ300061,10334828.5349
2019-02-01,20,SZ300145,10334828.5349
2019-02-01,20,SZ300159,10334828.5349
2019-02-01,20,SH600097,10334828.5349
2019-02-01,20,SH600230,10334828.5349
2019-02-01,20,SH600382,10334828.5349
2019-02-01,20,SH600596,10334828.5349
2019-02-01,20,SH600668,10334828.5349
2019-02-01,20,SH600720,10334828.5349
2019-02-01,20,SH603669,10334828.5349
2019-02-01,20,SH603980,10334828.5349
2019-03-01,20,SZ000636,12533743.6132
2019-03-01,20,SZ000791,12533743.6132
2019-03-01,20,SZ000910,12533743.6132
2019-03-01,20,SZ001914,12533743.6132
2019-03-01,20,SZ002396,12533743.6132
2019-03-01,20,SZ002406,12533743.6132
2019-03-01,20,SZ002530,12533743.6132
2019-03-01,20,SZ002541,12533743.6132
2019-03-01,20,SZ002884,12533743.6132
2019-03-01,20,SZ300159,12533743.6132
2019-03-01,20,SH600097,12533743.6132
2019-03-01,20,SH600230,12533743.6132
2019-03-01,20,SH600382,12533743.6132
2019-03-01,20,SH600383,12533743.6132
2019-03-01,20,SH600596,12533743.6132
2019-03-01,20,SH600668,12533743.6132
2019-03-01,20,SH600720,12533743.6132
2019-03-01,20,SH601126,12533743.6132
2019-03-01,20,SH603858,12533743.6132
2019-03-01,20,SH603980,12533743.6132
2019-04-01,20,SZ000402,14479593.1035
2019-04-01,20,SZ000910,14479593.1035
2019-04-01,20,SZ000919,14479593.1035
2019-04-01,20,SZ002150,14479593.1035
2019-04-01,20,SZ002406,14479593.1035
2019-04-01,20,SZ002541,14479593.1035
2019-04-01,20,SZ300061,14479593.1035
2019-04-01,20,SZ300230,14479593.1035
2019-04-01,20,SH600051,14479593.1035
2019-04-01,20,SH600097,14479593.1035
2019-04-01,20,SH600596,14479593.1035
2019-04-01,20,SH600668,14479593.1035
2019-04-01,20,SH600782,14479593.1035
2019-04-01,20,SH600801,14479593.1035
2019-04-01,20,SH600823,14479593.1035
2019-04-01,20,SH600884,14479593.1035
2019-04-01,20,SH600971,14479593.1035
2019-04-01,20,SH601006,14479593.1035
2019-04-01,20,SH603858,14479593.1035
2019-04-01,20,SH603980,14479593.1035
2019-05-06,20,SZ000581,12772237.1372
2019-05-06,20,SZ000636,12772237.1372
2019-05-06,20,SZ000919,12772237.1372
2019-05-06,20,SZ000999,12772237.1372
2019-05-06,20,SZ002195,12772237.1372
2019-05-06,20,SZ002406,12772237.1372
2019-05-06,20,SZ002635,12772237.1372
2019-05-06,20,SZ002884,12772237.1372
2019-05-06,20,SH600173,12772237.1372
2019-05-06,20,SH600261,12772237.1372
2019-05-06,20,SH600269,12772237.1372
2019-05-06,20,SH600382,12772237.1372
2019-05-06,20,SH600426,12772237.1372
2019-05-06,20,SH600587,12772237.1372
2019-05-06,20,SH600603,12772237.1372
2019-05-06,20,SH600677,12772237.1372
2019-05-06,20,SH600694,12772237.1372
2019-05-06,20,SH601006,12772237.1372
2019-05-06,20,SH603585,12772237.1372
2019-05-06,20,SH603858,12772237.1372
2019-06-03,20,SZ000581,12597717.9109
2019-06-03,20,SZ000636,12597717.9109
2019-06-03,20,SZ000789,12597717.9109
2019-06-03,20,SZ000919,12597717.9109
2019-06-03,20,SZ000999,12597717.9109
2019-06-03,20,SZ002195,12597717.9109
