order_id,trade_date,symbol,asset_type,commission,stamp_tax,total_fees
1,2019-01-02,SZ002072,stock,29.959799194335936,0.0,29.959799194335936
2,2019-01-02,SZ002200,stock,29.950357618331907,0.0,29.950357618331907
3,2019-01-02,SZ300029,stock,29.991101217269893,0.0,29.991101217269893
4,2019-01-02,SZ300069,stock,29.79303211212158,0.0,29.79303211212158
5,2019-01-02,SZ300106,stock,29.90743908405304,0.0,29.90743908405304
6,2019-01-02,SZ300321,stock,29.966897907257078,0.0,29.966897907257078
7,2019-01-02,SZ300354,stock,29.984822530746456,0.0,29.984822530746456
8,2019-01-02,SZ300405,stock,29.91054925918579,0.0,29.91054925918579
9,2019-01-02,SZ300489,stock,29.905770263671872,0.0,29.905770263671872
10,2019-01-02,SZ300592,stock,29.953768444061275,0.0,29.953768444061275
11,2019-02-01,SZ300069,stock,29.97959446907043,99.93198156356812,129.91157603263855
12,2019-02-01,SZ300106,stock,5.0,4.141533279418946,9.141533279418946
13,2019-02-01,SZ300321,stock,5.0,3.498867416381836,8.498867416381836
14,2019-02-01,SZ300354,stock,30.020155849456785,100.06718616485595,130.08734201431275
15,2019-02-01,SZ300489,stock,5.0,3.0087512969970702,8.00875129699707
16,2019-02-01,SZ002072,stock,5.0,0.0,5.0
17,2019-02-01,SZ002633,stock,28.14003740787506,0.0,28.14003740787506
18,2019-02-01,SZ002890,stock,28.162854595184324,0.0,28.162854595184324
19,2019-02-01,SZ300029,stock,5.0,0.0,5.0
20,2019-02-01,SZ300405,stock,5.0,0.0,5.0
21,2019-02-01,SZ300592,stock,5.0,0.0,5.0
22,2019-03-01,SZ002072,stock,5.0,12.482413244247438,17.48241324424744
23,2019-03-01,SZ002890,stock,33.91555698394775,113.05185661315919,146.96741359710694
24,2019-03-01,SZ300029,stock,5.0,2.6670076847076416,7.667007684707642
25,2019-03-01,SH600306,stock,34.2080195903778,0.0,34.2080195903778
26,2019-03-01,SZ002200,stock,5.0,0.0,5.0
27,2019-03-01,SZ002633,stock,5.0,0.0,5.0
28,2019-03-01,SZ300106,stock,5.0,0.0,5.0
29,2019-03-01,SZ300321,stock,5.0,0.0,5.0
30,2019-03-01,SZ300405,stock,5.0,0.0,5.0
31,2019-03-01,SZ300489,stock,5.0,0.0,5.0
32,2019-04-01,SZ002633,stock,42.17901389122009,140.59671297073365,182.77572686195373
33,2019-04-01,SZ300029,stock,5.0,2.3663455963134767,7.366345596313477
34,2019-04-01,SZ300321,stock,37.373122186660765,124.5770739555359,161.95019614219666
35,2019-04-01,SZ300489,stock,5.0,6.165047836303711,11.16504783630371
36,2019-04-01,SZ300592,stock,5.0,3.4210378646850588,8.421037864685058
37,2019-04-01,SH600306,stock,5.0,0.0,5.0
38,2019-04-01,SZ002072,stock,5.824513092041015,0.0,5.824513092041015
39,2019-04-01,SZ002200,stock,5.0,0.0,5.0
40,2019-04-01,SZ300106,stock,5.0,0.0,5.0
41,2019-04-01,SZ300405,stock,5.0,0.0,5.0
42,2019-04-01,SZ300665,stock,37.60447082519531,0.0,37.60447082519531
43,2019-04-01,SZ300680,stock,37.53409662723541,0.0,37.53409662723541
44,2019-05-06,SH600306,stock,34.38713085651398,114.62376952171326,149.01090037822723
