trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2019-01-02,1955.5510255861445,996899.7014045715,998855.2524301577,0.001957792203453304,-0.001144747569842286
2019-01-03,1955.5510255861445,1011106.243801117,1013061.7948267031,0.0019303373551074108,0.014222823939686657
2019-01-04,1955.5510255861445,1039210.9461307526,1041166.4971563388,0.0018782308410107286,0.027742337607789436
2019-01-07,1955.5510255861445,1072966.857767105,1074922.4087926913,0.001819248542583217,0.032421242643273285
2019-01-08,1955.5510255861445,1068804.1781425476,1070759.7291681338,0.001826321043195563,-0.0038725396275186563
2019-01-09,1955.5510255861445,1063766.7600154877,1065722.3110410739,0.0018349536322232218,-0.004704527066005215
2019-01-10,1955.5510255861445,1067697.2393512726,1069652.7903768588,0.0018282110262126902,0.0036880895661697277
2019-01-11,1955.5510255861445,1071747.978925705,1073703.5299512912,0.0018213137714792264,0.003786966771717859
2019-01-14,1955.5510255861445,1053362.5952243805,1055318.1462499667,0.0018530440630961588,-0.017123333572497956
2019-01-15,1955.5510255861445,1073485.047197342,1075440.5982229281,0.001818371957333136,0.019067664139450047
2019-01-16,1955.5510255861445,1067081.8125247955,1069037.3635503817,0.001829263496545678,-0.005954057047062533
2019-01-17,1955.5510255861445,1054553.4831523895,1056509.0341779757,0.0018509553277106378,-0.011719262393971142
2019-01-18,1955.5510255861445,1056398.7221717834,1058354.2731973697,0.0018477281899928221,0.0017465435312908895
2019-01-21,1955.5510255861445,1057974.4011878967,1059929.952213483,0.0018449813796678825,0.0014888011094367215
2019-01-22,1955.5510255861445,1053794.0069675446,1055749.5579931308,0.0018522868522942524,-0.00394402876494071
2019-01-23,1955.5510255861445,1062739.5983695984,1064695.1493951846,0.001836723898570425,0.008473213494930132
2019-01-24,1955.5510255861445,1073964.0543460846,1075919.6053716708,0.0018175624050559146,0.010542412992923245
2019-01-25,1955.5510255861445,1053266.5649414062,1055222.1159669925,0.0018532126990099158,-0.019237022265737536
2019-01-28,1955.5510255861445,1019792.1486854553,1021747.6997110415,0.0019139275049400064,-0.0317226257386346
2019-01-29,1955.5510255861445,982446.99010849,984402.5411340762,0.00198653593816739,-0.03655027418953505
2019-01-30,1955.5510255861445,959215.6383991241,961171.1894247103,0.002034550189500166,-0.023599443051622204
2019-01-31,1955.5510255861445,934222.9125499725,936178.4635755587,0.0020888656401230198,-0.026002366825113143
2019-02-01,3351.4969160366454,964300.8273124695,967652.3242285061,0.003463534197273531,0.03361950939646574
2019-02-11,3351.4969160366454,999101.8468379974,1002453.343754034,0.003343294664952489,0.03596438375040778
2019-02-12,3351.4969160366454,1010292.5263404846,1013644.0232565212,0.0033063845286329754,0.011163292109515943
2019-02-13,3351.4969160366454,1026847.1466064453,1030198.6435224819,0.0032532530858098594,0.016331788957602678
2019-02-14,3351.4969160366454,1033324.5465278625,1036676.0434438991,0.0032329259822603544,0.0062875251895784245
2019-02-15,3351.4969160366454,1038819.3305015564,1042170.827417593,0.0032158805714619337,0.005300386758663622
2019-02-18,3351.4969160366454,1084888.0062103271,1088239.5031263637,0.0030797420112100796,0.04420453393703694
2019-02-19,3351.4969160366454,1085071.1511611938,1088422.6480772304,0.0030792237941366647,0.0001682947093359921
2019-02-20,3351.4969160366454,1088263.9884471893,1091615.485363226,0.00307021745383308,0.0029334535546792218
2019-02-21,3351.4969160366454,1075956.7586898804,1079308.255605917,0.0031052267956156194,-0.011274326832413695
2019-02-22,3351.4969160366454,1093140.377664566,1096491.8745806026,0.0030565633852221294,0.015920955746825838
2019-02-25,3351.4969160366454,1135979.6877861023,1139331.1847021389,0.002941635374364693,0.039069427794822253
2019-02-26,3351.4969160366454,1135112.4905586243,1138463.9874746609,0.002943876093499392,-0.0007611458714743558
2019-02-27,3351.4969160366454,1132153.8553714752,1135505.3522875118,0.002951546559674904,-0.0025987955874756663
