execution_date,symbol,shares,market_value_at_open
2019-01-02,SH600306,155700,999682.9556465149
2019-01-02,SZ002072,160200,999908.2981109619
2019-01-02,SZ002200,178200,999466.9901847839
2019-01-02,SZ300029,215000,999703.3739089966
2019-01-02,SZ300069,103700,999850.3009796143
2019-01-02,SZ300106,189500,999551.976442337
2019-01-02,SZ300321,83000,998896.5969085693
2019-01-02,SZ300354,126000,999494.0843582153
2019-01-02,SZ300489,128400,999974.1931915283
2019-01-02,SZ300592,110100,999366.6380882263
2019-02-01,SH600306,167000,933921.6547012329
2019-02-01,SZ002072,192800,934361.056137085
2019-02-01,SZ002200,177300,934202.6710510254
2019-02-01,SZ002633,128500,934365.5831813812
2019-02-01,SZ300029,219500,934037.5225543976
2019-02-01,SZ300321,80100,934197.6001739502
2019-02-01,SZ300330,144800,931313.3693695068
2019-02-01,SZ300405,262900,934346.8246459961
2019-02-01,SZ300489,124200,934217.2777175903
2019-02-01,SZ300592,111700,933908.793258667
2019-03-01,SH600306,160400,1150307.409286499
2019-03-01,SZ002072,175100,1150352.925825119
2019-03-01,SZ002200,182500,1150225.614309311
2019-03-01,SZ300029,215700,1150547.1151828766
2019-03-01,SZ300106,187200,1150213.3140563965
2019-03-01,SZ300321,82000,1150289.499282837
2019-03-01,SZ300330,147100,1149960.9303951263
2019-03-01,SZ300405,267800,1150571.8524932861
2019-03-01,SZ300489,128400,1150606.048965454
2019-03-01,SZ300592,113200,1149780.2341461182
2019-04-01,SH600306,166000,1255362.6518249512
2019-04-01,SZ002072,206900,1255303.9153575897
2019-04-01,SZ002200,183100,1254937.99366951
2019-04-01,SZ300029,212200,1255346.3388442993
2019-04-01,SZ300106,188800,1254964.1021728516
2019-04-01,SZ300405,269700,1255080.0935268402
2019-04-01,SZ300489,122100,1254587.2346878052
2019-04-01,SZ300592,110000,1254380.5503845215
2019-04-01,SZ300665,154200,1255110.2600097656
2019-04-01,SZ300680,169400,1254097.8241920471
2019-05-06,SH600306,185100,1285870.287179947
2019-05-06,SH603029,24500,257904.38413619995
2019-05-06,SH603286,88600,1285119.0134048462
2019-05-06,SZ002072,206900,1022324.861907959
2019-05-06,SZ002890,136000,1285983.2305908203
2019-05-06,SZ300029,241600,1286265.468597412
2019-05-06,SZ300321,90000,1284966.0873413086
2019-05-06,SZ300354,140400,1285602.8411865234
2019-05-06,SZ300442,175500,1286063.4262561798
2019-05-06,SZ300592,130200,1285633.8603973389
2019-05-06,SZ300665,177700,1285605.2092552185
2019-06-03,SH603029,131800,1417442.145729065
2019-06-03,SH603269,160700,1417714.0248298645
2019-06-03,SH603286,88600,1350192.9189682007
2019-06-03,SZ000691,346800,1417919.2588806152
2019-06-03,SZ002473,169600,1418257.388305664
2019-06-03,SZ002890,140600,1417986.2701416016
2019-06-03,SZ300029,220000,1417697.7825164795
2019-06-03,SZ300321,90000,1333414.9360656738
2019-06-03,SZ300592,130200,1564952.7780532837
2019-06-03,SZ300665,184400,1417737.0527267456
2019-07-01,SH603029,129100,1441429.6894073486
2019-07-01,SH603269,156600,1441198.1740951538
2019-07-01,SH603286,91600,1441544.7093963623
2019-07-01,SZ000691,349800,1441416.4821624756
2019-07-01,SZ002473,171700,1440942.7856445312
2019-07-01,SZ002890,140400,1441683.3869934082
2019-07-01,SZ300029,210800,1441336.6771697998
2019-07-01,SZ300321,97600,1441608.0780029297
2019-07-01,SZ300592,129500,1440992.4235343933
2019-07-01,SZ300665,178000,1441091.5145874023
2019-08-01,SH600306,220400,1388328.0336380005
2019-08-01,SZ000691,347200,1388254.6524047852
2019-08-01,SZ002209,204700,1387834.417772293
2019-08-01,SZ002473,176700,1388137.4123096466
2019-08-01,SZ002633,154000,1383017.1546936035
2019-08-01,SZ002890,143900,1388366.6531562805
2019-08-01,SZ300029,213900,1387899.7628688812
2019-08-01,SZ300321,96100,1387807.5013160706
2019-08-01,SZ300592,131800,1388295.9058761597
2019-08-01,SZ300665,185200,1388272.5885391235
2019-09-02,SH600306,230200,1335623.4840393066
2019-09-02,SH603269,159400,1335266.7181015015
2019-09-02,SZ000691,349800,1335771.8622207642
2019-09-02,SZ002209,210000,1335670.8240509033
2019-09-02,SZ002473,165600,1335362.0979309082
2019-09-02,SZ002633,163900,1335537.9720687866
2019-09-02,SZ002890,141900,1335179.5134544373
2019-09-02,SZ300029,211300,1335685.8600139618
2019-09-02,SZ300321,96100,1335150.9011268616
2019-09-02,SZ300665,185500,1335325.0517845154
2019-10-08,SH600306,243400,1372352.456665039
2019-10-08,SH603269,159700,1372239.8743629456
2019-10-08,SZ000502,206400,1372401.7616271973
2019-10-08,SZ000679,376000,1372308.8665008545
2019-10-08,SZ000691,362100,1372522.0661401749
2019-10-08,SZ000835,354400,1372519.1766738892
2019-10-08,SZ002633,158900,1371773.9093780518
2019-10-08,SZ300029,222900,1372003.859424591
2019-10-08,SZ300592,129900,1365943.3899879456
2019-10-08,SZ300665,189900,1372248.9705562592
2019-11-01,SH600306,255100,1398232.7668190002
2019-11-01,SH603269,160200,1397655.3800582886
2019-11-01,SH603991,81400,1397077.9899597168
2019-11-01,SZ000691,370000,1398177.7930259705
2019-11-01,SZ000835,364800,1398162.5289916992
2019-11-01,SZ000929,196100,1394248.0232715607
2019-11-01,SZ002209,215100,1398166.308259964
2019-11-01,SZ002633,168800,1398130.7975769043
2019-11-01,SZ300029,214300,1397903.680562973
2019-11-01,SZ300665,191200,1397942.5853729248
2019-12-02,SH600306,255900,1392480.6299686432
2019-12-02,SH603269,174800,1392486.6537094116
2019-12-02,SH603991,85800,1391325.2380371094
2019-12-02,SZ000691,375500,1392586.2996578217
2019-12-02,SZ000929,212300,1392543.529033661
2019-12-02,SZ002473,179200,1389850.341796875
2019-12-02,SZ002633,175300,1392490.876340866
2019-12-02,SZ300362,509500,1392645.8532810211
2019-12-02,SZ300431,415700,1392824.5005130768
2019-12-02,SZ300665,197000,1392319.5037841797
2020-01-02,SH600306,261400,1489667.0906066895
2020-01-02,SH603269,176800,1489686.0496520996
2020-01-02,SH603991,86600,1489608.9309692383
2020-01-02,SZ000679,416100,1490038.6611700058
2020-01-02,SZ000691,370800,1490196.950340271
2020-01-02,SZ000929,213800,1488009.573841095
2020-01-02,SZ002633,174000,1489893.5852050781
2020-01-02,SZ300029,248600,1489963.6501312256
2020-01-02,SZ300362,545200,1490174.2162704468
2020-01-02,SZ300431,403600,1489916.226196289
2020-02-03,SH600306,261400,1225794.1291809082
2020-02-03,SH603269,176800,1332427.0614624023
2020-02-03,SH603991,86600,1306014.2154693604
2020-02-03,SZ000679,416100,1298264.1943216324
2020-02-03,SZ000691,370800,1253782.8472137451
2020-02-03,SZ000929,213800,1288985.5798721313
2020-02-03,SZ002633,174000,1340218.6317443848
2020-02-03,SZ300029,248600,1340497.3620414734
2020-02-03,SZ300362,545200,1161275.9324073792
2020-02-03,SZ300431,403600,1110227.2637367249
2020-03-02,SH600241,331700,1303939.665555954
2020-03-02,SH600306,283500,1303917.0699119568
2020-03-02,SH600561,276700,1303971.7340946198
2020-03-02,SH603991,83800,1302898.5326766968
2020-03-02,SZ000679,401200,1304080.0199508667
2020-03-02,SZ000929,210900,1303603.4202575684
2020-03-02,SZ300029,240300,1303891.5472984314
2020-03-02,SZ300106,237800,1300391.0765647888
2020-03-02,SZ300362,615100,1304011.9296073914
2020-03-02,SZ300431,453900,1303988.319826126
2020-04-01,SH600241,365800,1364783.6459636688
2020-04-01,SH600306,300000,1364743.709564209
2020-04-01,SH600561,276800,1362333.0276489258
2020-04-01,SH600599,201300,1358980.700826645
2020-04-01,SH603389,328100,1364952.7413845062
2020-04-01,SZ000679,436200,1365012.359046936
2020-04-01,SZ000835,423600,1364752.396774292
2020-04-01,SZ002071,634500,1364857.469201088
2020-04-01,SZ300362,766800,1364903.978061676
2020-04-01,SZ300431,552200,1364987.2537136078
2020-05-06,SH600306,300000,1206569.6239471436
2020-05-06,SH600561,253200,1162273.2776641846
2020-05-06,SH600599,193000,1162175.3816604614
2020-05-06,SZ000835,417900,1162446.7802524567
2020-05-06,SZ000929,4200,25489.97926712036
2020-05-06,SZ002071,658800,1162627.6691436768
2020-05-06,SZ002209,206800,1162314.1918182373
2020-05-06,SZ002633,157100,1162133.6221694946
2020-05-06,SZ300029,211500,1162414.2472743988
2020-05-06,SZ300362,766800,1142531.9159030914
2020-05-06,SZ300431,552200,1109474.2369651794
2020-06-01,SH600306,300000,1188626.1463165283
2020-06-01,SH600561,273100,1234473.9815235138
2020-06-01,SH600599,193000,1455368.3443069458
2020-06-01,SZ000835,425400,1234471.1224079132
2020-06-01,SZ002209,206800,1210377.6550292969
2020-06-01,SZ002633,157100,1218700.8798122406
2020-06-01,SZ300029,219700,1188599.071073532
2020-06-01,SZ300090,4727700,1234500.3655225039
2020-06-01,SZ300362,766800,1142531.9159030914
2020-06-01,SZ300431,705000,1234437.5520944595
2020-07-01,SH600561,259800,1210916.9637680054
2020-07-01,SH603269,150300,1210707.2536468506
2020-07-01,SZ000502,100,664.6648406982422
2020-07-01,SZ000835,425400,1013136.4528656006
2020-07-01,SZ000929,187200,1211078.5400390625
2020-07-01,SZ002209,199400,1211170.4091072083
2020-07-01,SZ002633,153700,1210837.3532295227
2020-07-01,SZ300029,219800,1210967.6681518555
2020-07-01,SZ300090,4727700,1519384.9352002144
2020-07-01,SZ300362,766800,1142531.9159030914
2020-07-01,SZ300431,705000,1043018.9645290375
2020-07-01,SZ300665,17400,124011.65599822998
2020-08-03,SH600365,345200,1188257.9558372498
2020-08-03,SZ000502,166000,1187927.526473999
2020-08-03,SZ000929,167300,1187826.7132759094
2020-08-03,SZ002209,177800,1187818.8486099243
2020-08-03,SZ002633,138300,1188284.28440094
2020-08-03,SZ300029,176700,1187701.5901565552
2020-08-03,SZ300362,766800,1142531.9159030914
2020-08-03,SZ300431,705000,1043018.9645290375
2020-08-03,SZ300535,92100,1187222.346496582
2020-08-03,SZ300665,151800,1188043.0747032166
2020-08-03,SZ300736,17300,186870.5916404724
2020-09-01,SH600520,1200,10813.607025146484
2020-09-01,SH600768,117100,1247179.5036315918
2020-09-01,SZ000502,151300,1247312.2156143188
2020-09-01,SZ000929,160100,1246932.7921390533
2020-09-01,SZ002209,174700,1247638.2094860077
2020-09-01,SZ002633,128600,1247125.2655029297
2020-09-01,SZ300029,192400,1247153.0143737793
2020-09-01,SZ300362,766800,1142531.9159030914
2020-09-01,SZ300431,705000,1043018.9645290375
2020-09-01,SZ300535,88100,1247603.1944274902
2020-09-01,SZ300665,151800,1353396.7391967773
2020-09-01,SZ300736,17300,193387.855052948
2020-10-09,SH600520,134800,1105677.248764038
2020-10-09,SH600561,225600,1105654.5249938965
2020-10-09,SH600768,114200,1105466.054534912
2020-10-09,SH603029,95800,1104845.31955719
2020-10-09,SH603286,65200,1064317.6727294922
2020-10-09,SZ000502,141100,1105515.3431415558
2020-10-09,SZ002209,165800,1105650.9684562683
2020-10-09,SZ002633,128100,1105228.3862113953
2020-10-09,SZ300362,766800,1142531.9159030914
2020-10-09,SZ300665,129200,1105073.1636047363
2020-11-02,SH600355,392900,1112332.1593046188
2020-11-02,SH600506,114700,1077811.323928833
2020-11-02,SH600520,148000,1111752.2296905518
2020-11-02,SH600768,119000,1111578.6123275757
2020-11-02,SH600778,253900,1112295.4736232758
2020-11-02,SH603029,100900,1111731.1758041382
2020-11-02,SZ000502,150800,1112198.5372543335
2020-11-02,SZ000702,215200,1112325.1178741455
2020-11-02,SZ002633,125600,1111713.8473510742
2020-11-02,SZ300362,766800,1142531.9159030914
2020-12-01,SH600355,392700,1147029.513502121
2020-12-01,SH600520,148300,1146680.6144237518
2020-12-01,SH600561,231700,1146944.0128803253
2020-12-01,SH600768,115600,1146822.896194458
2020-12-01,SH600778,255000,1147289.8864746094
2020-12-01,SH603029,100100,1146312.9954338074
2020-12-01,SH603269,500,4302.094459533691
2020-12-01,SZ000502,151400,1147018.127632141
2020-12-01,SZ002633,137000,1146905.3010940552
2020-12-01,SZ300362,766800,1142531.9159030914
2020-12-01,SZ300478,103900,1147081.164073944
2021-01-04,SH600355,392800,1005613.3981704712
2021-01-04,SH600520,156100,1061492.0881271362
2021-01-04,SH600615,200,1340.0068283081055
2021-01-04,SH600766,197000,1061690.9470558167
2021-01-04,SH600768,120900,1061607.9277038574
2021-01-04,SH600778,265400,1061808.8117599487
2021-01-04,SH603029,106900,1061664.6530151367
2021-01-04,SZ002633,147200,1061493.1671142578
2021-01-04,SZ300362,766800,1142531.9159030914
2021-01-04,SZ300478,103900,1034798.1267929077
2021-01-04,SZ300736,114800,1061711.2533569336
2021-02-01,SH600355,392900,805294.4460868835
2021-02-01,SH600766,208800,784899.1756439209
2021-02-01,SH600768,117900,896160.2976322174
2021-02-01,SH600778,265400,883823.8686561584
2021-02-01,SH603029,105400,896767.1625137329
2021-02-01,SZ000007,346300,896805.6735277176
2021-02-01,SZ002633,151900,896267.3802852631
2021-02-01,SZ300362,766800,1142531.9159030914
2021-02-01,SZ300478,103900,867742.5040245056
2021-02-01,SZ300736,127900,896498.5258102417
2021-03-01,SH600355,459200,1000958.3728790283
2021-03-01,SH600520,127500,897508.556842804
2021-03-01,SH600766,208800,1004392.6048278809
2021-03-01,SH600768,132000,1000440.9656524658
