total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,scenario,method,cost_label,period_start,period_end,initial_cash,sortino,trade_count,order_count,rejected_order_count,unfilled_shares,total_fees,commission_rate,minimum_commission,slippage_rate,maximum_volume_ratio,execution_policy,risk_off_transition_count,risk_on_transition_count,parameter_selection_used_oos,yearly_returns_json
0.05849556365646147,0.007649568091505854,0.40709496531320855,0.12564205702146686,0.1459083510661474,43.52277448466467,0.459829151315204,1.0,1318,frozen-source-cost,ma-switch,source-declared stock costs including incorrect ETF sell tax,2018-11-15,2026-07-24,200000.0,0.11880509960088995,44,44,0,1939,7805.311494107175,0.0003,5.0,0.0,1.0,source-daily-order,22,22,False,"{""2018"": 0.0, ""2019"": 0.14788238009999888, ""2020"": 0.13783026788530228, ""2021"": -0.09429955814594249, ""2022"": -0.03233875573408995, ""2023"": -0.032869991663692644, ""2024"": -0.11082889319409184, ""2025"": 0.04536019217397458, ""2026"": 0.02865581185643684}"
0.057599441450914224,0.007535172802180634,0.4070720760177303,0.12486748408633104,0.14592107797157008,43.514675514943306,0.45993778705202415,1.0,1318,causal-baseline-cost,ma-switch,realistic ETF baseline,2018-11-15,2026-07-24,200000.0,0.11798720689900444,45,45,0,53471,2919.5043333345657,0.0003,5.0,0.0005,0.01,source-daily-order,22,22,False,"{""2018"": 0.0, ""2019"": 0.1461726718134002, ""2020"": 0.13793980844311782, ""2021"": -0.09427005641669561, ""2022"": -0.032329276402641494, ""2023"": -0.03235667366370154, ""2024"": -0.1113035132001392, ""2025"": 0.04536255830070601, ""2026"": 0.029176438639717528}"
0.02113230401920485,0.0028071651116177154,0.4192676823469136,0.09264178309764284,0.1459406888087282,43.534083030280875,0.45990724455294724,1.0,1318,causal-double-cost,ma-switch,double ETF friction,2018-11-15,2026-07-24,200000.0,0.08765928154115787,45,45,0,55291,5739.431610375493,0.0006,5.0,0.001,0.01,source-daily-order,22,22,False,"{""2018"": 0.0, ""2019"": 0.13979035968809983, ""2020"": 0.13244462219886732, ""2021"": -0.10006734997455691, ""2022"": -0.035420450664117475, ""2023"": -0.03621402557795417, ""2024"": -0.11486098534012634, ""2025"": 0.040515574993247316, ""2026"": 0.026718371090470594}"
0.7357062712297853,0.07671650810815245,0.41025675362806047,0.48349884306780516,0.19038802908550362,0.7085710160041164,0.0006065984808758209,0.34915665592104844,1318,csi300-buy-hold,risk-buy-hold,realistic ETF baseline,2018-11-15,2026-07-24,200000.0,0.6833286715822198,2,2,0,50805,59.94727865999998,0.0003,5.0,0.0005,0.01,transition-only,0,0,False,"{""2018"": -0.06914204739329965, ""2019"": 0.39299658876585375, ""2020"": 0.30526606713717563, ""2021"": -0.03208361611007671, ""2022"": -0.19495725478900983, ""2023"": -0.0931840075220346, ""2024"": 0.17848000487903426, ""2025"": 0.20952507554898436, ""2026"": 0.018194322683117603}"
0.3729228322059004,0.04340093973756942,0.2687659055952363,0.43828616379857877,0.11099959301503977,0.41350388185043935,0.4165434327938002,0.5195269622260167,1318,static-50pct-cash,static-half,realistic ETF baseline,2018-11-15,2026-07-24,200000.0,0.6117018284826152,1,1,0,0,29.99729114999999,0.0003,5.0,0.0005,0.01,transition-only,0,0,False,"{""2018"": -0.03203583895574991, ""2019"": 0.19015580060467308, ""2020"": 0.1728803224909634, ""2021"": -0.02022067697577612, ""2022"": -0.12138397413324598, ""2023"": -0.05315977762449098, ""2024"": 0.09751553608511254, ""2025"": 0.12292261509161606, ""2026"": 0.01149732283000593}"
