trade_date,event,symbol,amount,cash_after
,initial_cash,,1000000.0,1000000.0
2019-01-02,buy,SZ000929,-99853.44863739013,900146.5513626098
2019-01-02,buy,SZ002072,-99956.91900024415,800189.6323623657
2019-01-02,buy,SZ002200,-99846.4509561348,700343.1814062309
2019-01-02,buy,SZ300069,-99339.03540279389,601004.146003437
2019-01-02,buy,SZ300106,-99778.80514586449,501225.3408575725
2019-01-02,buy,SZ300321,-99740.83313298225,401484.50772459025
2019-01-02,buy,SZ300354,-99887.97313271523,301596.53459187504
2019-01-02,buy,SZ300405,-99726.07393436432,201870.46065751073
2019-01-02,buy,SZ300489,-99706.42273132324,102164.03792618749
2019-01-02,buy,SZ300592,-99889.65229384422,2274.38563234327
2019-02-01,sell,SZ000929,1205.4271932601928,3479.812825603463
2019-02-01,sell,SZ300069,99801.2067008686,103281.01952647207
2019-02-01,sell,SZ300106,3617.3025211811064,106898.32204765317
2019-02-01,sell,SZ300321,2321.076212692261,109219.39826034544
2019-02-01,sell,SZ300354,99845.71820524693,209065.11646559235
2019-02-01,sell,SZ300489,2249.094833660126,211314.21129925246
2019-02-01,buy,SZ002072,-16492.376499176025,194821.83480007644
2019-02-01,buy,SZ002200,-531.8099308013916,194290.02486927505
2019-02-01,buy,SZ002633,-93834.6946620369,100455.33020723815
2019-02-01,buy,SZ002890,-94072.66213949681,6382.668067741339
2019-02-01,buy,SZ300405,-1781.8994569778442,4600.7686107634945
2019-02-01,buy,SZ300592,-2333.664207458496,2267.1044033049984
2019-03-01,sell,SZ002072,13129.252502441406,15396.356905746405
2019-03-01,sell,SZ002890,113107.26877664567,128503.62568239207
2019-03-01,sell,SZ300592,701.5282438755036,129205.15392626758
2019-03-01,buy,SH603286,-113667.59148475647,15537.562441511109
2019-03-01,buy,SZ000929,-2869.3728256225586,12668.18961588855
2019-03-01,buy,SZ002200,-1265.2936744689941,11402.895941419556
2019-03-01,buy,SZ002633,-1749.4808959960938,9653.415045423462
2019-03-01,buy,SZ300106,-2464.136199951172,7189.27884547229
2019-03-01,buy,SZ300405,-434.6140670776367,6754.664778394654
2019-03-01,buy,SZ300489,-1797.0524597167969,4957.612318677857
2019-04-01,sell,SH603286,124034.02774612427,128991.64006480212
2019-04-01,sell,SZ000929,128426.8163288784,257418.45639368054
2019-04-01,sell,SZ002633,140423.55692796706,397842.0133216476
2019-04-01,sell,SZ300489,5126.9192943573,402968.9326160049
2019-04-01,sell,SZ300592,2374.6823257923124,405343.6149417972
2019-04-01,buy,SZ002072,-20039.99266239166,385303.62227940554
2019-04-01,buy,SZ002200,-1375.5204010009766,383928.10187840456
2019-04-01,buy,SZ300069,-125696.35409872055,258231.74777968402
2019-04-01,buy,SZ300106,-2000.2651023864746,256231.48267729755
2019-04-01,buy,SZ300405,-1866.34033203125,254365.1423452663
2019-04-01,buy,SZ300665,-125750.19924980163,128614.94309546467
2019-04-01,buy,SZ300680,-125415.77087215423,3199.1722233104374
2019-05-06,sell,SZ002200,133424.23207300185,136623.4042963123
2019-05-06,sell,SZ300069,143107.8249069786,279731.2292032909
2019-05-06,sell,SZ300106,127847.17114451408,407578.400347805
2019-05-06,sell,SZ300405,206737.63323597907,614316.033583784
2019-05-06,sell,SZ300489,137576.53236310958,751892.5659468935
2019-05-06,sell,SZ300680,129211.50762130736,881104.0735682009
2019-05-06,buy,SH603029,-132068.29512939454,749035.7784388064
