trade_date,cash,positions_value,total_value,cash_ratio,daily_return
2018-07-09,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-10,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-11,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-12,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-13,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-16,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-17,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-18,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-19,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-20,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-23,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-24,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-25,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-26,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-27,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-30,1000000.0,0.0,1000000.0,1.0,0.0
2018-07-31,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-01,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-02,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-03,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-06,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-07,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-08,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-09,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-10,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-13,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-14,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-15,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-16,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-17,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-20,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-21,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-22,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-23,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-24,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-27,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-28,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-29,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-30,1000000.0,0.0,1000000.0,1.0,0.0
2018-08-31,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-03,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-04,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-05,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-06,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-07,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-10,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-11,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-12,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-13,1000000.0,0.0,1000000.0,1.0,0.0
2018-09-14,1000000.0,0.0,1000000.0,1.0,0.0
