trade_date,symbol,shares,available_shares,average_cost,close,market_value
2024-04-01,SH515880,17000,17000,1.160928174,1.185,20145.0
2024-04-01,SZ159985,37500,37500,2.1397107207,2.157,80887.5
2024-04-02,SH515880,17000,17000,1.160928174,1.166,19822.0
2024-04-02,SZ159985,37500,37500,2.1397107207,2.137,80137.5
2024-04-03,SH515880,17000,17000,1.160928174,1.128,19175.999999999996
2024-04-03,SZ159985,37500,37500,2.1397107207,2.123,79612.50000000001
2024-04-08,SH515880,17000,17000,1.160928174,1.129,19193.0
2024-04-08,SZ159985,37500,37500,2.1397107207,2.141,80287.5
2024-04-09,SH515880,17000,17000,1.160928174,1.128,19175.999999999996
2024-04-09,SZ159985,37500,37500,2.1397107207,2.15,80625.0
2024-04-10,SH515880,17000,17000,1.160928174,1.093,18581.0
2024-04-10,SZ159985,37500,37500,2.1397107207,2.143,80362.49999999999
2024-04-11,SH515880,17000,17000,1.160928174,1.099,18683.0
2024-04-11,SZ159985,37500,37500,2.1397107207,2.12,79500.0
2024-04-12,SH515880,17000,17000,1.160928174,1.131,19227.0
2024-04-12,SZ159985,37500,37500,2.1397107207,2.141,80287.5
2024-04-15,SH515880,17000,17000,1.160928174,1.143,19431.0
2024-04-15,SZ159985,37500,37500,2.1397107207,2.169,81337.5
2024-04-16,SH515880,17000,17000,1.160928174,1.105,18785.0
2024-04-16,SZ159985,37500,37500,2.1397107207,2.19,82125.0
2024-04-17,SH515880,17000,17000,1.160928174,1.154,19618.0
2024-04-17,SZ159985,37500,37500,2.1397107207,2.125,79687.5
2024-04-18,SH515880,17000,17000,1.160928174,1.155,19635.0
2024-04-18,SZ159985,37500,37500,2.1397107207,2.142,80325.0
2024-04-19,SH515880,17000,17000,1.160928174,1.13,19210.0
2024-04-19,SZ159985,37500,37500,2.1397107207,2.163,81112.5
2024-04-22,SH515880,17000,17000,1.160928174,1.104,18768.0
2024-04-22,SZ159985,37500,37500,2.1397107207,2.156,80850.0
2024-04-23,SH515880,17000,17000,1.160928174,1.099,18683.0
2024-04-23,SZ159985,37500,37500,2.1397107207,2.167,81262.5
2024-04-24,SH515880,17000,17000,1.160928174,1.143,19431.0
2024-04-24,SZ159985,37500,37500,2.1397107207,2.19,82125.0
2024-04-25,SH515880,17000,17000,1.160928174,1.124,19108.000000000004
2024-04-25,SZ159985,37500,37500,2.1397107207,2.182,81825.0
2024-04-26,SH515880,17000,17000,1.160928174,1.183,20111.0
2024-04-26,SZ159985,37500,37500,2.1397107207,2.187,82012.5
2024-04-29,SH515880,17000,17000,1.160928174,1.204,20468.0
2024-04-29,SZ159985,37500,37500,2.1397107207,2.177,81637.5
2024-04-30,SH515880,17000,17000,1.160928174,1.189,20213.0
2024-04-30,SZ159985,37500,37500,2.1397107207,2.188,82050.0
2024-05-06,SH518880,11900,11900,5.2281799836000005,5.254,62522.59999999999
2024-05-06,SZ159985,18800,18800,2.1397107207,2.244,42187.200000000004
2024-05-07,SH518880,11900,11900,5.2281799836000005,5.268,62689.2
2024-05-07,SZ159985,18800,18800,2.1397107207,2.315,43522.0
2024-05-08,SH518880,11900,11900,5.2281799836000005,5.261,62605.9
2024-05-08,SZ159985,18800,18800,2.1397107207,2.322,43653.6
2024-05-09,SH518880,11900,11900,5.2281799836000005,5.25,62475.0
2024-05-09,SZ159985,18800,18800,2.1397107207,2.31,43428.0
2024-05-10,SH518880,11900,11900,5.2281799836000005,5.369,63891.1
2024-05-10,SZ159985,18800,18800,2.1397107207,2.275,42770.0
2024-05-13,SH518880,11900,11900,5.2281799836000005,5.337,63510.299999999996
2024-05-13,SZ159985,18800,18800,2.1397107207,2.296,43164.799999999996
2024-05-14,SH518880,11900,11900,5.2281799836000005,5.329,63415.1
