trade_date,symbol,shares,available_shares,average_cost,close,market_value
2021-04-19,SH510300,35100,35100,5.682915882720056,5.830144267299033,204638.06378219608
2021-04-20,SH510300,35100,35100,5.682915882720056,5.82097917511228,204316.36904644102
2021-04-21,SH510300,35100,35100,5.682915882720056,5.83472681339241,204798.9111500736
2021-04-22,SH510300,35100,35100,5.682915882720056,5.830144267299033,204638.06378219608
2021-04-23,SH510300,35100,35100,5.682915882720056,5.888571729989591,206688.86772263466
2021-04-26,SH510300,35100,35100,5.682915882720056,5.815250992495557,204115.30983659404
2021-04-27,SH510300,35100,35100,5.682915882720056,5.830144267299033,204638.06378219608
2021-04-28,SH510300,35100,35100,5.682915882720056,5.873678455186115,206166.11377703265
2021-04-29,SH510300,35100,35100,5.682915882720056,5.926377735259953,208015.85850762436
2021-04-30,SH510300,35100,35100,5.682915882720056,5.87482409170946,206206.32561900205
2021-05-06,SH510300,35100,35100,5.682915882720056,5.798066444645393,203512.13220705328
2021-05-07,SH510300,35100,35100,5.682915882720056,5.7281826167213925,201059.2098469209
2021-05-10,SH510300,35100,35100,5.682915882720056,5.727036980198047,201018.99800495146
2021-05-11,SH510300,35100,35100,5.682915882720056,5.756823529805,202064.5058961555
2021-05-12,SH510300,35100,35100,5.682915882720056,5.792338262028672,203311.0729972064
2021-05-13,SH510300,35100,35100,5.682915882720056,5.729328253244737,201099.42168889026
2021-05-14,SH510300,35100,35100,5.682915882720056,5.873678455186115,206166.11377703265
2021-05-17,SH510300,35100,35100,5.682915882720056,5.943562283110117,208619.0361371651
2021-05-18,SH510300,35100,35100,5.682915882720056,5.9458535561568056,208699.45982110387
2021-05-19,SH510300,35100,35100,5.682915882720056,5.929814644829985,208136.49403353248
2021-05-20,SH510300,35100,35100,5.682915882720056,5.9458535561568056,208699.45982110387
2021-05-21,SH510300,35100,35100,5.682915882720056,5.88284354737287,206487.80851278774
2021-05-24,SH510300,35100,35100,5.682915882720056,5.9149213700265095,207613.7400879305
2021-05-25,SH510300,35100,35100,5.682915882720056,6.102805759854971,214208.48217090947
2021-05-26,SH510300,35100,35100,5.682915882720056,6.103951396378316,214248.6940128789
2021-05-27,SH510300,35100,35100,5.682915882720056,6.125718490321858,215012.7190102972
2021-05-28,SH510300,35100,35100,5.682915882720056,6.108533942471692,214409.5413807564
2021-05-31,SH510300,35100,35100,5.682915882720056,6.115407761611759,214650.81243257274
2021-06-01,SH510300,35100,35100,5.682915882720056,6.1245728537985125,214972.50716832778
2021-06-02,SH510300,35100,35100,5.682915882720056,6.075310483294708,213243.39796364427
2021-06-03,SH510300,35100,35100,5.682915882720056,6.028339385837593,211594.7124428995
2021-06-04,SH510300,35100,35100,5.682915882720056,6.066145391107955,212921.7032278892
2021-06-07,SH510300,35100,35100,5.682915882720056,6.059271571967888,212680.43217607288
2021-06-08,SH510300,35100,35100,5.682915882720056,6.011154837987429,210991.53481335877
2021-06-09,SH510300,35100,35100,5.682915882720056,6.020319930174183,211313.2295491138
2021-06-10,SH510300,35100,35100,5.682915882720056,6.059271571967888,212680.43217607288
2021-06-11,SH510300,35100,35100,5.682915882720056,6.003135382324019,210710.05191957307
2021-06-15,SH510300,35100,35100,5.682915882720056,5.935542827446707,208337.5532433794
2021-06-16,SH510300,35100,35100,5.682915882720056,5.854202634289264,205482.51246355317
2021-06-17,SH510300,35100,35100,5.682915882720056,5.866804636046051,205924.84272521638
2021-06-18,SH510300,35100,35100,5.682915882720056,5.872532818662772,206125.9019350633
2021-06-21,SH510300,35100,35100,5.682915882720056,5.864513362999361,205844.41904127758
2021-06-22,SH510300,35100,35100,5.682915882720056,5.8942999126063125,206889.92693248155
2021-06-23,SH510300,35100,35100,5.682915882720056,5.929814644829985,208136.49403353248
2021-06-24,SH510300,35100,35100,5.682915882720056,5.944707919633461,208659.2479791345
2021-06-25,SH510300,35100,35100,5.682915882720056,6.037504478024347,211916.4071786546
2021-06-28,SH510300,35100,35100,5.682915882720056,6.0478152067344455,212278.31375637904
2021-06-29,SH510300,35100,35100,5.682915882720056,5.985950834473854,210106.87429003228
2021-06-30,SH510300,35100,35100,5.682915882720056,6.021465566697528,211353.44139108324
2021-07-01,SH510300,35100,35100,5.682915882720056,6.019174293650838,211273.01770714443
2021-07-02,SH510300,35100,35100,5.682915882720056,5.857639543859296,205603.1479894613
2021-07-05,SH510300,35100,35100,5.682915882720056,5.865658999522706,205884.63088324698
2021-07-06,SH510300,35100,35100,5.682915882720056,5.873678455186115,206166.11377703265
2021-07-07,SH510300,35100,35100,5.682915882720056,5.934397190923362,208297.34140141
2021-07-08,SH510300,35100,35100,5.682915882720056,5.883989183896214,206528.0203547571
2021-07-09,SH510300,35100,35100,5.682915882720056,5.856493907335952,205562.9361474919
2021-07-12,SH510300,35100,35100,5.682915882720056,5.934397190923362,208297.34140141
2021-07-13,SH510300,35100,35100,5.682915882720056,5.95272737529687,208940.73087292016
2021-07-14,SH510300,35100,35100,5.682915882720056,5.887426093466248,206648.6558806653
2021-07-15,SH510300,35100,35100,5.682915882720056,5.965329377053658,209383.0611345834
2021-07-16,SH510300,35100,35100,5.682915882720056,5.906901914363099,207332.2571941448
2021-07-19,SH510300,35100,35100,5.682915882720056,5.932105917876674,208216.91771747125
2021-07-20,SH510300,35100,35100,5.682915882720056,5.917212643073198,207694.16377186927
2021-07-21,SH510300,35100,35100,5.682915882720056,5.961892467483625,209262.42560867523
2021-07-22,SH510300,35100,35100,5.682915882720056,5.967620650100346,209463.48481852215
2021-07-23,SH510300,35100,35100,5.682915882720056,5.908047550886444,207372.46903611417
2021-07-26,SH510300,35100,35100,5.682915882720056,5.7075611593011955,200335.39669147195
2021-07-27,SH510300,35100,35100,5.682915882720056,5.509366040762635,193378.7480307685
2021-07-28,SH510300,35100,35100,5.682915882720056,5.5208224059960775,193780.86645046232
2021-07-29,SH510300,35100,35100,5.682915882720056,5.6204927835270295,197279.29670179874
2021-07-30,SH510300,35100,35100,5.682915882720056,5.581541141733324,195912.09407483967
2021-08-02,SH510300,35100,35100,5.682915882720056,5.720163161057982,200777.7269531352
2021-08-03,SH510300,35100,35100,5.682915882720056,5.722454434104671,200858.15063707397
2021-08-04,SH510300,35100,35100,5.682915882720056,5.772862441131819,202627.47168372685
2021-08-05,SH510300,35100,35100,5.682915882720056,5.7384933454314915,201421.11642464536
2021-08-06,SH510300,35100,35100,5.682915882720056,5.720163161057982,200777.7269531352
2021-08-09,SH510300,35100,35100,5.682915882720056,5.783173169841918,202989.37826145132
2021-08-10,SH510300,35100,35100,5.682915882720056,5.848474451672542,205281.45325370625
2021-08-11,SH510300,35100,35100,5.682915882720056,5.817542265542246,204195.73352053284
2021-08-12,SH510300,35100,35100,5.682915882720056,5.780881896795229,202908.95457751254
2021-08-13,SH510300,35100,35100,5.682915882720056,5.749949710664934,201823.2348443392
2021-08-16,SH510300,35100,35100,5.682915882720056,5.746512801094901,201702.59931843102
2021-08-17,SH510300,35100,35100,5.682915882720056,5.6182015104803416,197198.87301786
2021-08-18,SH510300,35100,35100,5.682915882720056,5.678920246217588,199330.10064223735
2021-08-19,SH510300,35100,35100,5.682915882720056,5.639968604423883,197962.8980152783
2021-08-20,SH510300,35100,35100,5.682915882720056,5.536861317322898,194343.8322380337
2021-08-23,SH510300,35100,35100,5.682915882720056,5.619347147003686,197239.08485982937
2021-08-24,SH510300,35100,35100,5.682915882720056,5.678920246217588,199330.10064223735
2021-08-25,SH510300,35100,35100,5.682915882720056,5.6949591575444085,199893.06642980874
2021-08-26,SH510300,35100,35100,5.682915882720056,5.5975800530601445,196475.0598624111
2021-08-27,SH510300,35100,35100,5.682915882720056,5.61247332786362,196997.81380801307
2021-08-30,SH510300,35100,35100,5.682915882720056,5.591851870443423,196274.00065256417
2021-08-31,SH510300,35100,35100,5.682915882720056,5.589560597396734,196193.57696862536
2021-09-01,SH510300,35100,35100,5.682915882720056,5.669755154030834,199008.40590648225
2021-09-02,SH510300,35100,35100,5.682915882720056,5.665172607937457,198847.55853860473
2021-09-03,SH510300,35100,35100,5.682915882720056,5.634240421807162,197761.83880543138
2021-09-06,SH510300,35100,35100,5.682915882720056,5.7304738897680805,201139.63353085963
2021-09-07,SH510300,35100,35100,5.682915882720056,5.802648990738771,203672.97957493085
2021-09-08,SH510300,35100,35100,5.682915882720056,5.77859062374854,202828.53089357377
2021-09-09,SH510300,35100,35100,5.682915882720056,5.776299350701851,202748.107209635
2021-09-10,SH510300,35100,35100,5.682915882720056,5.832435540345722,204718.48746613486
2021-09-13,SH510300,35100,35100,5.682915882720056,5.801503354215426,203632.76773296145
2021-09-14,SH510300,35100,35100,5.682915882720056,5.725891343674704,200978.78616298208
