period,entry_rule,experiment_id,horizon,events,coverage,mean_return,median_return,positive_return_ratio,mean_excess_return,median_excess_return,positive_excess_ratio,p05_excess_return,mean_monthly_equal_weight_excess
development,direct,h18-control,5,2655,0.9675655976676385,0.01404754186080674,0.011741042137145996,0.5905838041431262,0.001452754468792127,-0.0034401416778564453,0.47344632768361583,-0.08759968876838684,0.0009511082195346648
development,direct,h18-control,20,2574,0.9675655976676385,0.019142018887268634,0.010695457458496094,0.5388500388500389,0.009473915792937972,-0.0023674964904785156,0.48717948717948717,-0.15828222334384917,0.008465532528944513
development,direct,h18-control,60,2479,0.9675655976676385,0.053795787789447505,0.016376972198486328,0.5296490520371118,0.025449423755835796,-0.0029311180114746094,0.49294070189592576,-0.25204930305480955,0.02196264833899804
development,direct,h18-control,120,2359,0.9675655976676385,0.08580231950817699,0.015643715858459473,0.5235269181856719,0.03166664037071784,-0.005187928676605225,0.49258160237388726,-0.3571016788482666,0.029216239211330087
development,new-high-20,h20,5,1166,0.4249271137026239,0.005628591080677039,0.0008308887481689453,0.5060034305317325,-0.0008552880066336735,-0.007616281509399414,0.44168096054888506,-0.08697560429573059,-0.0037948107663949323
development,new-high-20,h20,20,1124,0.4249271137026239,0.018073877008147936,0.013050615787506104,0.5382562277580071,0.0052912181965821155,-0.007407724857330322,0.47686832740213525,-0.16499060094356535,0.006022457333997138
development,new-high-20,h20,60,1051,0.4249271137026239,0.05278228397714196,0.018870949745178223,0.5280685061845861,0.019736462496894525,-0.01245272159576416,0.4747859181731684,-0.2776535749435425,0.026929991427321612
development,new-high-20,h20,120,1005,0.4249271137026239,0.05646936416032895,-0.0030711889266967773,0.4935323383084577,0.012425932451267148,-0.03085392713546753,0.44975124378109455,-0.38456814289093016,0.022463314959576045
development,new-high-55,h21,5,603,0.2197521865889213,0.0033671056255574643,-0.002972722053527832,0.47761194029850745,3.2056030349351876e-05,-0.00650477409362793,0.4444444444444444,-0.09490883350372313,-0.0012162121402910907
development,new-high-55,h21,20,588,0.2197521865889213,0.009567475947393041,-0.0024314820766448975,0.4880952380952381,0.007481232285499573,-0.0029619932174682617,0.4880952380952381,-0.15992741286754608,0.006697893229382005
development,new-high-55,h21,60,539,0.2197521865889213,0.039037552028065046,0.008034348487854004,0.5120593692022264,0.018489349474491126,-0.014386653900146484,0.46382189239332094,-0.27795915007591243,0.0219477230047584
development,new-high-55,h21,120,492,0.2197521865889213,0.04125682718870116,-0.011704415082931519,0.4817073170731707,-0.006447720091517378,-0.053353458642959595,0.41260162601626016,-0.3931564956903458,-0.007099691756394184
development,new-high-55-volume-1.4,h22,5,484,0.17638483965014579,0.005969138554305084,-0.001280069351196289,0.49173553719008267,0.0031590717883149453,-0.0055036842823028564,0.45661157024793386,-0.0846352070569992,0.002524121835984487
development,new-high-55-volume-1.4,h22,20,470,0.17638483965014579,0.011217705112822513,-0.006076246500015259,0.4808510638297872,0.008600058454148313,-0.001044243574142456,0.49361702127659574,-0.15188902616500854,0.004855754841586556
development,new-high-55-volume-1.4,h22,60,431,0.17638483965014579,0.043410321952572,0.0012969970703125,0.5011600928074246,0.015068420954480802,-0.021085500717163086,0.4431554524361949,-0.2859185039997101,0.013565576541077958
development,new-high-55-volume-1.4,h22,120,400,0.17638483965014579,0.04002721942961216,-0.014017283916473389,0.4675,-0.014772476032376289,-0.06145960092544556,0.395,-0.39900911748409273,-0.013158863619501023
development,structured-base-breakout,h24,5,111,0.04045189504373178,0.0072005777745633515,0.0027179718017578125,0.5315315315315315,0.00030286032874304967,-0.004504203796386719,0.4594594594594595,-0.10539901256561279,0.0008101561978932416
development,structured-base-breakout,h24,20,106,0.04045189504373178,0.025803179673428805,0.001432657241821289,0.5094339622641509,0.017086897256239405,-0.00142747163772583,0.5,-0.1551656424999237,0.01120534172355223
development,structured-base-breakout,h24,60,87,0.04045189504373178,0.0858797184352217,0.015527009963989258,0.5287356321839081,0.022480942737097026,-0.0045549869537353516,0.4827586206896552,-0.3031806468963623,0.026822927903246
development,structured-base-breakout,h24,120,83,0.04045189504373178,0.054311762014067316,-0.04332756996154785,0.4578313253012048,-0.004459084875612374,-0.06769669055938721,0.42168674698795183,-0.39115664958953855,0.017604556494905044
development,vcp-breakout,h23,5,34,0.01239067055393586,0.011007487773895264,-0.005189269781112671,0.47058823529411764,0.002156641553429996,-0.0011984407901763916,0.5,-0.07500047087669372,-2.3369987805661276e-06
development,vcp-breakout,h23,20,33,0.01239067055393586,0.03918012525096084,0.013230681419372559,0.5757575757575758,0.003202794176159483,-0.02621448040008545,0.45454545454545453,-0.1487843155860901,0.009073510145147642
development,vcp-breakout,h23,60,30,0.01239067055393586,0.07530556321144104,0.042536377906799316,0.6666666666666666,-0.049721525112787886,-0.08434689044952393,0.3,-0.33511296212673186,-0.04703162836306023
development,vcp-breakout,h23,120,30,0.01239067055393586,0.010849725206693013,-0.06011250615119934,0.4666666666666667,-0.08167607486248016,-0.09667649865150452,0.3333333333333333,-0.41515354812145233,-0.07919706309598591
selection-validation,direct,h18-control,5,1434,0.9958333333333333,0.009614564925224379,0.005802273750305176,0.5341701534170153,-0.0014221719784384159,-0.006367534399032593,0.4595536959553696,-0.1060023784637451,-0.0013793547250856523
selection-validation,direct,h18-control,20,1430,0.9958333333333333,0.020373449959121385,0.004100680351257324,0.5104895104895105,0.011801345114941363,0.0014728009700775146,0.5055944055944056,-0.18071660697460173,0.011881146755540509
selection-validation,direct,h18-control,60,1367,0.9958333333333333,0.057900307077339466,0.012020230293273926,0.5303584491587418,0.036428962036389546,0.0040585994720458984,0.5113386978785662,-0.2877694368362427,0.03644245110604835
selection-validation,direct,h18-control,120,1278,0.9958333333333333,0.09719969427828125,0.03291815519332886,0.5312989045383412,0.05818266446041949,5.3048133850097656e-05,0.5,-0.4018883779644966,0.05839525588715656
selection-validation,new-high-20,h20,5,748,0.5194444444444445,0.003938106132701119,0.0018568038940429688,0.5053475935828877,-0.0007478381223219601,-0.0038371384143829346,0.47459893048128343,-0.11024667024612426,-0.00399291755652676
selection-validation,new-high-20,h20,20,739,0.5194444444444445,0.015810145980127772,0.00996243953704834,0.5196211096075778,0.0024940298923136254,-0.00286787748336792,0.4925575101488498,-0.20372525453567505,-0.005438425572437333
selection-validation,new-high-20,h20,60,710,0.5194444444444445,0.051856644892356765,0.015575408935546875,0.5183098591549296,0.028123960864376015,-0.002788156270980835,0.4943661971830986,-0.3016679584980011,0.01607900901175101
selection-validation,new-high-20,h20,120,674,0.5194444444444445,0.10366630885827435,0.04565650224685669,0.5370919881305638,0.06667429000935145,0.01081162691116333,0.5044510385756676,-0.4206922173500061,0.05177659161121722
selection-validation,new-high-55,h21,5,466,0.3236111111111111,0.0073070289495165254,0.004919469356536865,0.51931330472103,0.0007236480968704551,-0.0033150911331176758,0.47639484978540775,-0.11350975930690765,-0.0014358837130863465
selection-validation,new-high-55,h21,20,464,0.3236111111111111,0.026127663151971226,0.02052849531173706,0.5474137931034483,0.011913148622060644,0.0045629143714904785,0.521551724137931,-0.202199724316597,0.00017736614587535732
selection-validation,new-high-55,h21,60,453,0.3236111111111111,0.052433397727823156,0.027968883514404297,0.5320088300220751,0.03486978494568376,-0.00030863285064697266,0.4988962472406181,-0.3010115623474121,0.0157321748703526
selection-validation,new-high-55,h21,120,427,0.3236111111111111,0.12568554645120678,0.07808840274810791,0.5644028103044496,0.08938970463895686,0.04957282543182373,0.5433255269320844,-0.4161217987537384,0.050940714386212345
selection-validation,new-high-55-volume-1.4,h22,5,313,0.21736111111111112,0.01409984644228658,0.010193467140197754,0.5431309904153354,0.004798896206072725,-0.002482891082763672,0.4728434504792332,-0.11327583789825439,-0.0004786175095986926
