trade_date,symbol,shares,available_shares,average_cost,close,market_value
2019-01-02,SH600097,52700,0,9.500205282109452,9.542877197265625,502909.62829589844
2019-01-02,SH600230,31500,0,15.877078265253067,15.77197551727295,496817.2287940979
2019-01-02,SH600382,133800,0,3.7446531717772005,3.72637939453125,498589.56298828125
2019-01-02,SH600383,64300,0,7.79159014725008,7.611753463745117,489435.74771881104
2019-01-02,SH600596,77800,0,6.440092203384018,6.437320232391357,500823.5140800476
2019-01-02,SH601126,125600,0,3.9891576019527912,4.0110344886779785,503785.9317779541
2019-01-02,SH603669,110800,0,4.522664762147427,4.525834560394287,501462.469291687
2019-01-02,SH603980,70100,0,7.141566220971966,7.088913440704346,496932.83219337463
2019-01-02,SZ000415,138100,0,3.6281199169648644,3.529797315597534,487465.00928401947
2019-01-02,SZ000519,80400,0,6.225533694483662,6.221103191375732,500176.6965866089
2019-01-02,SZ000636,48500,0,10.329858854358672,10.277466773986816,498457.1385383606
2019-01-02,SZ000791,153700,0,3.2591889101961136,3.2645862102508545,501766.90051555634
2019-01-02,SZ000910,51800,0,9.67392861761055,9.389856338500977,486394.5583343506
2019-01-02,SZ002394,55700,0,8.69257396053486,8.603586196899414,479219.75116729736
2019-01-02,SZ002396,29300,0,17.053564841030504,17.408273696899414,510062.41931915283
2019-01-02,SZ002530,76900,0,6.51590690073452,6.070888042449951,466851.29046440125
2019-01-02,SZ002541,95800,0,5.229280395533752,5.113524913787842,489875.68674087524
2019-01-02,SZ002884,78700,0,6.364050009368706,6.373804569244385,501618.4195995331
2019-01-02,SZ300061,83300,0,6.013144528779888,5.909351825714111,492249.0070819855
2019-01-02,SZ300145,154700,0,3.2383636456496716,3.1215763092041016,482907.8550338745
2019-01-03,SH600097,52700,52700,9.500205282109452,9.323945999145508,491371.95415496826
2019-01-03,SH600230,31500,31500,15.877078265253067,15.685166358947754,494082.74030685425
2019-01-03,SH600382,133800,133800,3.7446531717772005,3.72637939453125,498589.56298828125
2019-01-03,SH600383,64300,64300,7.79159014725008,7.693182945251465,494671.6633796692
2019-01-03,SH600596,77800,77800,6.440092203384018,6.401308059692383,498021.7670440674
2019-01-03,SH601126,125600,125600,3.9891576019527912,4.192111968994141,526529.2633056641
2019-01-03,SH603669,110800,110800,4.522664762147427,4.417189598083496,489424.60746765137
2019-01-03,SH603980,70100,70100,7.141566220971966,7.053231239318848,494431.5098762512
2019-01-03,SZ000415,138100,138100,3.6281199169648644,3.559913396835327,491624.0401029587
2019-01-03,SZ000519,80400,80400,6.225533694483662,6.645126819610596,534268.1962966919
2019-01-03,SZ000636,48500,48500,10.329858854358672,10.554611206054688,511898.64349365234
2019-01-03,SZ000791,153700,153700,3.2591889101961136,3.226148843765259,495859.0772867203
2019-01-03,SZ000910,51800,51800,9.67392861761055,9.024975776672363,467493.7452316284
2019-01-03,SZ002394,55700,55700,8.69257396053486,8.646125793457031,481589.20669555664
2019-01-03,SZ002396,29300,29300,17.053564841030504,16.580913543701172,485820.76683044434
2019-01-03,SZ002530,76900,76900,6.51590690073452,6.271158218383789,482252.0669937134
2019-01-03,SZ002541,95800,95800,5.229280395533752,5.054010391235352,484174.1954803467
2019-01-03,SZ002884,78700,78700,6.364050009368706,6.441133499145508,506917.20638275146
2019-01-03,SZ300061,83300,83300,6.013144528779888,6.039514064788818,503091.52159690857
2019-01-03,SZ300145,154700,154700,3.2383636456496716,3.0816805362701416,476735.9789609909
2019-01-04,SH600097,52700,52700,9.500205282109452,9.510682106018066,501212.9469871521
2019-01-04,SH600230,31500,31500,15.877078265253067,15.968440055847168,503005.8617591858
2019-01-04,SH600382,133800,133800,3.7446531717772005,3.7841525077819824,506319.60554122925
2019-01-04,SH600383,64300,64300,7.79159014725008,7.9682087898254395,512355.82518577576
2019-01-04,SH600596,77800,77800,6.440092203384018,6.545356273651123,509228.7180900574
2019-01-04,SH601126,125600,125600,3.9891576019527912,4.523517608642578,568153.8116455078
2019-01-04,SH603669,110800,110800,4.522664762147427,4.535146713256836,502494.2558288574
2019-01-04,SH603980,70100,70100,7.141566220971966,7.201908111572266,504853.7586212158
2019-01-04,SZ000415,138100,138100,3.6281199169648644,3.699977397918701,510966.87865257263
2019-01-04,SZ000519,80400,80400,6.225533694483662,6.763050556182861,543749.264717102
2019-01-04,SZ000636,48500,48500,10.329858854358672,10.80296802520752,523943.9492225647
2019-01-04,SZ000791,153700,153700,3.2591889101961136,3.297898292541504,506886.96756362915
2019-01-04,SZ000910,51800,51800,9.67392861761055,9.172480583190918,475134.49420928955
2019-01-04,SZ002394,55700,55700,8.69257396053486,8.750347137451172,487394.3355560303
2019-01-04,SZ002396,29300,29300,17.053564841030504,17.301023483276367,506919.98805999756
2019-01-04,SZ002530,76900,76900,6.51590690073452,6.3219733238220215,486159.74860191345
2019-01-04,SZ002541,95800,95800,5.229280395533752,5.194465637207031,497629.8080444336
2019-01-04,SZ002884,78700,78700,6.364050009368706,6.66182279586792,524285.4540348053
2019-01-04,SZ300061,83300,83300,6.013144528779888,6.640118598937988,553121.8792915344
2019-01-04,SZ300145,154700,154700,3.2383636456496716,3.1512420177459717,487497.1401453018
2019-01-07,SH600097,52700,52700,9.500205282109452,9.8326416015625,518180.21240234375
2019-01-07,SH600230,31500,31500,15.877078265253067,16.352230072021484,515095.24726867676
2019-01-07,SH600382,133800,133800,3.7446531717772005,3.8483452796936035,514908.59842300415
2019-01-07,SH600383,64300,64300,7.79159014725008,8.000565528869629,514436.36350631714
2019-01-07,SH600596,77800,77800,6.440092203384018,6.634985446929932,516201.8677711487
2019-01-07,SH601126,125600,125600,3.9891576019527912,4.8959221839904785,614927.8263092041
2019-01-07,SH603669,110800,110800,4.522664762147427,4.566188335418701,505933.6675643921
2019-01-07,SH603980,70100,70100,7.141566220971966,7.3149027824401855,512774.685049057
2019-01-07,SZ000415,138100,138100,3.6281199169648644,3.7200546264648438,513739.5439147949
2019-01-07,SZ000519,80400,80400,6.225533694483662,7.069150447845459,568359.6960067749
2019-01-07,SZ000636,48500,48500,10.329858854358672,11.128089904785156,539712.3603820801
2019-01-07,SZ000791,153700,153700,3.2591889101961136,3.387584686279297,520671.76628112793
2019-01-07,SZ000910,51800,51800,9.67392861761055,9.238469123840332,478552.7006149292
2019-01-07,SZ002394,55700,55700,8.69257396053486,8.852441787719727,493081.00757598877
2019-01-07,SZ002396,29300,29300,17.053564841030504,17.635032653808594,516706.4567565918
