execution_date,observation_date,universe_count,reported_candidate_count,symbol,rank,selected
2019-01-02,2018-12-28,3453,50,SZ300029,1,True
2019-01-02,2018-12-28,3453,50,SZ002200,2,True
2019-01-02,2018-12-28,3453,50,SZ300489,3,True
2019-01-02,2018-12-28,3453,50,SZ002072,4,True
2019-01-02,2018-12-28,3453,50,SZ300592,5,True
2019-01-02,2018-12-28,3453,50,SZ300069,6,True
2019-01-02,2018-12-28,3453,50,SZ300106,7,True
2019-01-02,2018-12-28,3453,50,SZ300321,8,True
2019-01-02,2018-12-28,3453,50,SZ300354,9,True
2019-01-02,2018-12-28,3453,50,SH600306,10,True
2019-01-02,2018-12-28,3453,50,SZ300405,11,False
2019-01-02,2018-12-28,3453,50,SZ000929,12,False
2019-01-02,2018-12-28,3453,50,SZ300665,13,False
2019-01-02,2018-12-28,3453,50,SZ300330,14,False
2019-01-02,2018-12-28,3453,50,SZ002633,15,False
2019-01-02,2018-12-28,3453,50,SZ300220,16,False
2019-01-02,2018-12-28,3453,50,SZ002890,17,False
2019-01-02,2018-12-28,3453,50,SZ300417,18,False
2019-01-02,2018-12-28,3453,50,SH603029,19,False
2019-01-02,2018-12-28,3453,50,SZ002800,20,False
2019-01-02,2018-12-28,3453,50,SZ300557,21,False
2019-01-02,2018-12-28,3453,50,SZ300275,22,False
2019-01-02,2018-12-28,3453,50,SH600137,23,False
2019-01-02,2018-12-28,3453,50,SZ300551,24,False
2019-01-02,2018-12-28,3453,50,SH600099,25,False
2019-01-02,2018-12-28,3453,50,SZ300521,26,False
2019-01-02,2018-12-28,3453,50,SH603286,27,False
2019-01-02,2018-12-28,3453,50,SZ300680,28,False
2019-01-02,2018-12-28,3453,50,SZ300442,29,False
2019-01-02,2018-12-28,3453,50,SH603088,30,False
2019-01-02,2018-12-28,3453,50,SH600768,31,False
2019-01-02,2018-12-28,3453,50,SH600561,32,False
2019-01-02,2018-12-28,3453,50,SH603090,33,False
2019-01-02,2018-12-28,3453,50,SZ002760,34,False
2019-01-02,2018-12-28,3453,50,SH603269,35,False
2019-01-02,2018-12-28,3453,50,SZ002420,36,False
2019-01-02,2018-12-28,3453,50,SZ300093,37,False
2019-01-02,2018-12-28,3453,50,SH600213,38,False
2019-01-02,2018-12-28,3453,50,SZ300218,39,False
2019-01-02,2018-12-28,3453,50,SZ002209,40,False
2019-01-02,2018-12-28,3453,50,SH603031,41,False
2019-01-02,2018-12-28,3453,50,SZ002569,42,False
2019-01-02,2018-12-28,3453,50,SZ002112,43,False
2019-01-02,2018-12-28,3453,50,SZ300535,44,False
2019-01-02,2018-12-28,3453,50,SZ000004,45,False
2019-01-02,2018-12-28,3453,50,SH600095,46,False
2019-01-02,2018-12-28,3453,50,SZ300254,47,False
2019-01-02,2018-12-28,3453,50,SH603991,48,False
2019-01-02,2018-12-28,3453,50,SZ002205,49,False
2019-01-02,2018-12-28,3453,50,SZ000835,50,False
2019-02-01,2019-01-31,3474,50,SZ300029,1,True
2019-02-01,2019-01-31,3474,50,SZ002072,2,True
2019-02-01,2019-01-31,3474,50,SZ002200,3,True
2019-02-01,2019-01-31,3474,50,SH600306,4,True
2019-02-01,2019-01-31,3474,50,SZ300489,5,True
2019-02-01,2019-01-31,3474,50,SZ300592,6,True
2019-02-01,2019-01-31,3474,50,SZ300405,7,True
2019-02-01,2019-01-31,3474,50,SZ300321,8,True
2019-02-01,2019-01-31,3474,50,SZ002633,9,True
2019-02-01,2019-01-31,3474,50,SZ300330,10,True
2019-02-01,2019-01-31,3474,50,SZ300106,11,False
2019-02-01,2019-01-31,3474,50,SZ300216,12,False
2019-02-01,2019-01-31,3474,50,SZ002890,13,False
2019-02-01,2019-01-31,3474,50,SZ000929,14,False
2019-02-01,2019-01-31,3474,50,SH603286,15,False
2019-02-01,2019-01-31,3474,50,SZ300093,16,False
2019-02-01,2019-01-31,3474,50,SZ300665,17,False
2019-02-01,2019-01-31,3474,50,SZ300680,18,False
2019-02-01,2019-01-31,3474,50,SZ300354,19,False
2019-02-01,2019-01-31,3474,50,SZ300417,20,False
2019-02-01,2019-01-31,3474,50,SZ300220,21,False
2019-02-01,2019-01-31,3474,50,SZ300069,22,False
2019-02-01,2019-01-31,3474,50,SZ300442,23,False
2019-02-01,2019-01-31,3474,50,SZ002800,24,False
2019-02-01,2019-01-31,3474,50,SH603029,25,False
2019-02-01,2019-01-31,3474,50,SZ300275,26,False
2019-02-01,2019-01-31,3474,50,SZ002499,27,False
2019-02-01,2019-01-31,3474,50,SH603269,28,False
2019-02-01,2019-01-31,3474,50,SZ300521,29,False
2019-02-01,2019-01-31,3474,50,SZ300535,30,False
2019-02-01,2019-01-31,3474,50,SZ000835,31,False
2019-02-01,2019-01-31,3474,50,SH600137,32,False
2019-02-01,2019-01-31,3474,50,SZ002760,33,False
2019-02-01,2019-01-31,3474,50,SH603031,34,False
2019-02-01,2019-01-31,3474,50,SZ002420,35,False
2019-02-01,2019-01-31,3474,50,SZ002209,36,False
2019-02-01,2019-01-31,3474,50,SH600385,37,False
2019-02-01,2019-01-31,3474,50,SH600099,38,False
2019-02-01,2019-01-31,3474,50,SZ300557,39,False
2019-02-01,2019-01-31,3474,50,SH603090,40,False
2019-02-01,2019-01-31,3474,50,SZ002112,41,False
2019-02-01,2019-01-31,3474,50,SZ300167,42,False
2019-02-01,2019-01-31,3474,50,SZ000691,43,False
2019-02-01,2019-01-31,3474,50,SZ300551,44,False
2019-02-01,2019-01-31,3474,50,SZ000502,45,False
2019-02-01,2019-01-31,3474,50,SH603729,46,False
2019-02-01,2019-01-31,3474,50,SH600561,47,False
2019-02-01,2019-01-31,3474,50,SZ002729,48,False
2019-02-01,2019-01-31,3474,50,SZ300152,49,False
2019-02-01,2019-01-31,3474,50,SH603991,50,False
2019-03-01,2019-02-28,3487,50,SZ300029,1,True
2019-03-01,2019-02-28,3487,50,SZ002072,2,True
2019-03-01,2019-02-28,3487,50,SZ002200,3,True
2019-03-01,2019-02-28,3487,50,SZ300489,4,True
2019-03-01,2019-02-28,3487,50,SZ300592,5,True
2019-03-01,2019-02-28,3487,50,SH600306,6,True
2019-03-01,2019-02-28,3487,50,SZ300405,7,True
2019-03-01,2019-02-28,3487,50,SZ300321,8,True
2019-03-01,2019-02-28,3487,50,SZ300106,9,True
2019-03-01,2019-02-28,3487,50,SZ300330,10,True
2019-03-01,2019-02-28,3487,50,SZ002633,11,False
2019-03-01,2019-02-28,3487,50,SH603286,12,False
2019-03-01,2019-02-28,3487,50,SZ000929,13,False
2019-03-01,2019-02-28,3487,50,SZ300680,14,False
2019-03-01,2019-02-28,3487,50,SZ002890,15,False
2019-03-01,2019-02-28,3487,50,SZ300665,16,False
2019-03-01,2019-02-28,3487,50,SZ300417,17,False
2019-03-01,2019-02-28,3487,50,SZ300354,18,False
2019-03-01,2019-02-28,3487,50,SH603029,19,False
2019-03-01,2019-02-28,3487,50,SZ300535,20,False
2019-03-01,2019-02-28,3487,50,SZ300551,21,False
2019-03-01,2019-02-28,3487,50,SZ002800,22,False
2019-03-01,2019-02-28,3487,50,SH603031,23,False
2019-03-01,2019-02-28,3487,50,SH600137,24,False
2019-03-01,2019-02-28,3487,50,SZ002760,25,False
2019-03-01,2019-02-28,3487,50,SH603269,26,False
2019-03-01,2019-02-28,3487,50,SZ300442,27,False
2019-03-01,2019-02-28,3487,50,SH600099,28,False
2019-03-01,2019-02-28,3487,50,SZ300093,29,False
2019-03-01,2019-02-28,3487,50,SZ300557,30,False
2019-03-01,2019-02-28,3487,50,SH603090,31,False
2019-03-01,2019-02-28,3487,50,SZ300275,32,False
2019-03-01,2019-02-28,3487,50,SZ300573,33,False
2019-03-01,2019-02-28,3487,50,SH600561,34,False
2019-03-01,2019-02-28,3487,50,SZ002209,35,False
2019-03-01,2019-02-28,3487,50,SH600385,36,False
2019-03-01,2019-02-28,3487,50,SZ002420,37,False
2019-03-01,2019-02-28,3487,50,SZ000502,38,False
2019-03-01,2019-02-28,3487,50,SH603088,39,False
2019-03-01,2019-02-28,3487,50,SH600455,40,False
2019-03-01,2019-02-28,3487,50,SH600768,41,False
2019-03-01,2019-02-28,3487,50,SZ000835,42,False
2019-03-01,2019-02-28,3487,50,SZ000691,43,False
2019-03-01,2019-02-28,3487,50,SH603991,44,False
2019-03-01,2019-02-28,3487,50,SZ300220,45,False
2019-03-01,2019-02-28,3487,50,SZ002729,46,False
2019-03-01,2019-02-28,3487,50,SZ002499,47,False
2019-03-01,2019-02-28,3487,50,SH603536,48,False
2019-03-01,2019-02-28,3487,50,SH603879,49,False
2019-03-01,2019-02-28,3487,50,SH603041,50,False
2019-04-01,2019-03-29,3495,50,SZ002072,1,True
2019-04-01,2019-03-29,3495,50,SZ300029,2,True
2019-04-01,2019-03-29,3495,50,SZ002200,3,True
2019-04-01,2019-03-29,3495,50,SH600306,4,True
2019-04-01,2019-03-29,3495,50,SZ300405,5,True
2019-04-01,2019-03-29,3495,50,SZ300592,6,True
2019-04-01,2019-03-29,3495,50,SZ300489,7,True
2019-04-01,2019-03-29,3495,50,SZ300665,8,True
2019-04-01,2019-03-29,3495,50,SZ300106,9,True
2019-04-01,2019-03-29,3495,50,SZ300680,10,True
2019-04-01,2019-03-29,3495,50,SZ000611,11,False
2019-04-01,2019-03-29,3495,50,SZ300321,12,False
2019-04-01,2019-03-29,3495,50,SZ300069,13,False
2019-04-01,2019-03-29,3495,50,SH600385,14,False
2019-04-01,2019-03-29,3495,50,SH603286,15,False
2019-04-01,2019-03-29,3495,50,SZ002890,16,False
2019-04-01,2019-03-29,3495,50,SZ300417,17,False
2019-04-01,2019-03-29,3495,50,SZ000929,18,False
2019-04-01,2019-03-29,3495,50,SH600768,19,False
2019-04-01,2019-03-29,3495,50,SZ300442,20,False
2019-04-01,2019-03-29,3495,50,SZ300216,21,False
2019-04-01,2019-03-29,3495,50,SH603029,22,False
2019-04-01,2019-03-29,3495,50,SZ300354,23,False
2019-04-01,2019-03-29,3495,50,SZ002800,24,False
2019-04-01,2019-03-29,3495,50,SH603269,25,False
2019-04-01,2019-03-29,3495,50,SH603031,26,False
2019-04-01,2019-03-29,3495,50,SZ300275,27,False
2019-04-01,2019-03-29,3495,50,SH600099,28,False
2019-04-01,2019-03-29,3495,50,SZ300535,29,False
2019-04-01,2019-03-29,3495,50,SZ002569,30,False
2019-04-01,2019-03-29,3495,50,SZ300573,31,False
2019-04-01,2019-03-29,3495,50,SH603088,32,False
2019-04-01,2019-03-29,3495,50,SZ300330,33,False
2019-04-01,2019-03-29,3495,50,SH600561,34,False
2019-04-01,2019-03-29,3495,50,SZ002633,35,False
2019-04-01,2019-03-29,3495,50,SZ300093,36,False
2019-04-01,2019-03-29,3495,50,SZ002420,37,False
2019-04-01,2019-03-29,3495,50,SZ002209,38,False
2019-04-01,2019-03-29,3495,50,SZ002473,39,False
2019-04-01,2019-03-29,3495,50,SZ300626,40,False
2019-04-01,2019-03-29,3495,50,SZ300557,41,False
2019-04-01,2019-03-29,3495,50,SZ300551,42,False
2019-04-01,2019-03-29,3495,50,SZ002715,43,False
2019-04-01,2019-03-29,3495,50,SZ002760,44,False
2019-04-01,2019-03-29,3495,50,SZ002112,45,False
2019-04-01,2019-03-29,3495,50,SZ000691,46,False
2019-04-01,2019-03-29,3495,50,SZ300460,47,False
2019-04-01,2019-03-29,3495,50,SH603041,48,False
2019-04-01,2019-03-29,3495,50,SH600213,49,False
2019-04-01,2019-03-29,3495,50,SZ000835,50,False
2019-05-06,2019-04-30,3506,50,SZ300029,1,True
2019-05-06,2019-04-30,3506,50,SZ300592,2,True
2019-05-06,2019-04-30,3506,50,SH600306,3,True
2019-05-06,2019-04-30,3506,50,SZ300665,4,True
2019-05-06,2019-04-30,3506,50,SZ002890,5,True
2019-05-06,2019-04-30,3506,50,SH603286,6,True
2019-05-06,2019-04-30,3506,50,SZ300354,7,True
2019-05-06,2019-04-30,3506,50,SZ300321,8,True
2019-05-06,2019-04-30,3506,50,SZ300442,9,True
2019-05-06,2019-04-30,3506,50,SH603029,10,True
2019-05-06,2019-04-30,3506,50,SH603269,11,False
2019-05-06,2019-04-30,3506,50,SH603031,12,False
2019-05-06,2019-04-30,3506,50,SZ300535,13,False
2019-05-06,2019-04-30,3506,50,SZ300093,14,False
2019-05-06,2019-04-30,3506,50,SH600768,15,False
2019-05-06,2019-04-30,3506,50,SZ300330,16,False
2019-05-06,2019-04-30,3506,50,SZ002633,17,False
2019-05-06,2019-04-30,3506,50,SZ000691,18,False
2019-05-06,2019-04-30,3506,50,SZ002473,19,False
2019-05-06,2019-04-30,3506,50,SZ300460,20,False
2019-05-06,2019-04-30,3506,50,SZ300106,21,False
2019-05-06,2019-04-30,3506,50,SZ002209,22,False
2019-05-06,2019-04-30,3506,50,SH600137,23,False
2019-05-06,2019-04-30,3506,50,SZ300680,24,False
2019-05-06,2019-04-30,3506,50,SZ300626,25,False
2019-05-06,2019-04-30,3506,50,SZ300736,26,False
2019-05-06,2019-04-30,3506,50,SZ300557,27,False
2019-05-06,2019-04-30,3506,50,SZ300585,28,False
2019-05-06,2019-04-30,3506,50,SZ002800,29,False
2019-05-06,2019-04-30,3506,50,SZ000929,30,False
2019-05-06,2019-04-30,3506,50,SZ300521,31,False
2019-05-06,2019-04-30,3506,50,SZ300636,32,False
2019-05-06,2019-04-30,3506,50,SH603090,33,False
2019-05-06,2019-04-30,3506,50,SH603991,34,False
2019-05-06,2019-04-30,3506,50,SH600605,35,False
2019-05-06,2019-04-30,3506,50,SZ000502,36,False
2019-05-06,2019-04-30,3506,50,SZ300218,37,False
2019-05-06,2019-04-30,3506,50,SZ002760,38,False
2019-05-06,2019-04-30,3506,50,SH603536,39,False
2019-05-06,2019-04-30,3506,50,SZ000835,40,False
2019-05-06,2019-04-30,3506,50,SZ300489,41,False
2019-05-06,2019-04-30,3506,50,SH603330,42,False
2019-05-06,2019-04-30,3506,50,SH603041,43,False
2019-05-06,2019-04-30,3506,50,SH600319,44,False
2019-05-06,2019-04-30,3506,50,SZ300275,45,False
2019-05-06,2019-04-30,3506,50,SZ300606,46,False
2019-05-06,2019-04-30,3506,50,SH603088,47,False
2019-05-06,2019-04-30,3506,50,SZ000679,48,False
2019-05-06,2019-04-30,3506,50,SZ002857,49,False
2019-05-06,2019-04-30,3506,50,SH600561,50,False
2019-06-03,2019-05-31,3513,50,SZ000691,1,True
2019-06-03,2019-05-31,3513,50,SZ300665,2,True
2019-06-03,2019-05-31,3513,50,SZ002473,3,True
2019-06-03,2019-05-31,3513,50,SZ300029,4,True
2019-06-03,2019-05-31,3513,50,SH603269,5,True
2019-06-03,2019-05-31,3513,50,SH603029,6,True
2019-06-03,2019-05-31,3513,50,SZ002890,7,True
2019-06-03,2019-05-31,3513,50,SH603286,8,True
2019-06-03,2019-05-31,3513,50,SZ300321,9,True
2019-06-03,2019-05-31,3513,50,SZ002209,10,True
2019-06-03,2019-05-31,3513,50,SH600306,11,False
2019-06-03,2019-05-31,3513,50,SH600137,12,False
2019-06-03,2019-05-31,3513,50,SZ000679,13,False
2019-06-03,2019-05-31,3513,50,SZ300680,14,False
2019-06-03,2019-05-31,3513,50,SZ300442,15,False
2019-06-03,2019-05-31,3513,50,SZ000835,16,False
2019-06-03,2019-05-31,3513,50,SZ300489,17,False
2019-06-03,2019-05-31,3513,50,SZ002800,18,False
2019-06-03,2019-05-31,3513,50,SZ002633,19,False
2019-06-03,2019-05-31,3513,50,SZ300535,20,False
2019-06-03,2019-05-31,3513,50,SH603031,21,False
2019-06-03,2019-05-31,3513,50,SZ300521,22,False
2019-06-03,2019-05-31,3513,50,SZ000502,23,False
2019-06-03,2019-05-31,3513,50,SH600768,24,False
2019-06-03,2019-05-31,3513,50,SH603991,25,False
2019-06-03,2019-05-31,3513,50,SZ300736,26,False
2019-06-03,2019-05-31,3513,50,SZ300093,27,False
2019-06-03,2019-05-31,3513,50,SZ300721,28,False
2019-06-03,2019-05-31,3513,50,SZ300585,29,False
2019-06-03,2019-05-31,3513,50,SZ000929,30,False
2019-06-03,2019-05-31,3513,50,SH600605,31,False
2019-06-03,2019-05-31,3513,50,SZ300557,32,False
2019-06-03,2019-05-31,3513,50,SH603090,33,False
2019-06-03,2019-05-31,3513,50,SZ300460,34,False
2019-06-03,2019-05-31,3513,50,SZ300354,35,False
2019-06-03,2019-05-31,3513,50,SH600561,36,False
2019-06-03,2019-05-31,3513,50,SH603729,37,False
2019-06-03,2019-05-31,3513,50,SH603880,38,False
2019-06-03,2019-05-31,3513,50,SZ300517,39,False
2019-06-03,2019-05-31,3513,50,SZ300218,40,False
2019-06-03,2019-05-31,3513,50,SZ300650,41,False
2019-06-03,2019-05-31,3513,50,SZ300636,42,False
2019-06-03,2019-05-31,3513,50,SH600319,43,False
2019-06-03,2019-05-31,3513,50,SZ000609,44,False
2019-06-03,2019-05-31,3513,50,SH600671,45,False
2019-06-03,2019-05-31,3513,50,SZ002760,46,False
2019-06-03,2019-05-31,3513,50,SZ300167,47,False
2019-06-03,2019-05-31,3513,50,SZ300554,48,False
2019-06-03,2019-05-31,3513,50,SH603725,49,False
2019-06-03,2019-05-31,3513,50,SZ300606,50,False
2019-07-01,2019-06-28,3520,50,SZ000691,1,True
2019-07-01,2019-06-28,3520,50,SZ002473,2,True
2019-07-01,2019-06-28,3520,50,SZ300592,3,True
2019-07-01,2019-06-28,3520,50,SZ300029,4,True
2019-07-01,2019-06-28,3520,50,SZ300321,5,True
2019-07-01,2019-06-28,3520,50,SZ002890,6,True
2019-07-01,2019-06-28,3520,50,SZ300665,7,True
2019-07-01,2019-06-28,3520,50,SH603286,8,True
2019-07-01,2019-06-28,3520,50,SH603269,9,True
2019-07-01,2019-06-28,3520,50,SH603029,10,True
2019-07-01,2019-06-28,3520,50,SZ002209,11,False
2019-07-01,2019-06-28,3520,50,SZ000679,12,False
2019-07-01,2019-06-28,3520,50,SH600137,13,False
2019-07-01,2019-06-28,3520,50,SZ000502,14,False
2019-07-01,2019-06-28,3520,50,SZ002633,15,False
2019-07-01,2019-06-28,3520,50,SZ300442,16,False
2019-07-01,2019-06-28,3520,50,SZ300521,17,False
2019-07-01,2019-06-28,3520,50,SH603991,18,False
2019-07-01,2019-06-28,3520,50,SH600768,19,False
2019-07-01,2019-06-28,3520,50,SZ002112,20,False
2019-07-01,2019-06-28,3520,50,SZ000835,21,False
2019-07-01,2019-06-28,3520,50,SZ300535,22,False
2019-07-01,2019-06-28,3520,50,SZ000929,23,False
2019-07-01,2019-06-28,3520,50,SH600671,24,False
2019-07-01,2019-06-28,3520,50,SZ300721,25,False
2019-07-01,2019-06-28,3520,50,SH603090,26,False
2019-07-01,2019-06-28,3520,50,SZ300626,27,False
2019-07-01,2019-06-28,3520,50,SH603031,28,False
2019-07-01,2019-06-28,3520,50,SZ300680,29,False
2019-07-01,2019-06-28,3520,50,SZ002800,30,False
2019-07-01,2019-06-28,3520,50,SH603729,31,False
2019-07-01,2019-06-28,3520,50,SZ300557,32,False
2019-07-01,2019-06-28,3520,50,SH600561,33,False
2019-07-01,2019-06-28,3520,50,SZ002213,34,False
2019-07-01,2019-06-28,3520,50,SH600319,35,False
2019-07-01,2019-06-28,3520,50,SZ002715,36,False
2019-07-01,2019-06-28,3520,50,SZ300489,37,False
2019-07-01,2019-06-28,3520,50,SH603725,38,False
2019-07-01,2019-06-28,3520,50,SZ300354,39,False
2019-07-01,2019-06-28,3520,50,SZ300650,40,False
2019-07-01,2019-06-28,3520,50,SZ300218,41,False
2019-07-01,2019-06-28,3520,50,SZ300717,42,False
2019-07-01,2019-06-28,3520,50,SH600605,43,False
2019-07-01,2019-06-28,3520,50,SZ300093,44,False
2019-07-01,2019-06-28,3520,50,SZ000609,45,False
2019-07-01,2019-06-28,3520,50,SZ300554,46,False
2019-07-01,2019-06-28,3520,50,SZ300106,47,False
2019-07-01,2019-06-28,3520,50,SH603330,48,False
2019-07-01,2019-06-28,3520,50,SH603879,49,False
2019-07-01,2019-06-28,3520,50,SZ002760,50,False
2019-08-01,2019-07-31,3527,50,SH600306,1,True
2019-08-01,2019-07-31,3527,50,SZ002473,2,True
2019-08-01,2019-07-31,3527,50,SZ300665,3,True
2019-08-01,2019-07-31,3527,50,SZ300592,4,True
2019-08-01,2019-07-31,3527,50,SZ000691,5,True
2019-08-01,2019-07-31,3527,50,SZ300029,6,True
2019-08-01,2019-07-31,3527,50,SZ002890,7,True
2019-08-01,2019-07-31,3527,50,SZ002209,8,True
2019-08-01,2019-07-31,3527,50,SZ300321,9,True
2019-08-01,2019-07-31,3527,50,SZ002633,10,True
2019-08-01,2019-07-31,3527,50,SZ000835,11,False
2019-08-01,2019-07-31,3527,50,SH603029,12,False
2019-08-01,2019-07-31,3527,50,SH603286,13,False
2019-08-01,2019-07-31,3527,50,SZ000679,14,False
2019-08-01,2019-07-31,3527,50,SZ000929,15,False
2019-08-01,2019-07-31,3527,50,SH603269,16,False
2019-08-01,2019-07-31,3527,50,SZ002112,17,False
2019-08-01,2019-07-31,3527,50,SZ000502,18,False
2019-08-01,2019-07-31,3527,50,SZ300442,19,False
2019-08-01,2019-07-31,3527,50,SH603729,20,False
2019-08-01,2019-07-31,3527,50,SZ300362,21,False
2019-08-01,2019-07-31,3527,50,SH600768,22,False
2019-08-01,2019-07-31,3527,50,SH603991,23,False
2019-08-01,2019-07-31,3527,50,SZ000609,24,False
2019-08-01,2019-07-31,3527,50,SZ300680,25,False
2019-08-01,2019-07-31,3527,50,SH603090,26,False
2019-08-01,2019-07-31,3527,50,SH600137,27,False
2019-08-01,2019-07-31,3527,50,SZ002715,28,False
2019-08-01,2019-07-31,3527,50,SZ300521,29,False
2019-08-01,2019-07-31,3527,50,SH600561,30,False
2019-08-01,2019-07-31,3527,50,SZ300626,31,False
2019-08-01,2019-07-31,3527,50,SZ300489,32,False
2019-08-01,2019-07-31,3527,50,SZ300535,33,False
2019-08-01,2019-07-31,3527,50,SZ000638,34,False
2019-08-01,2019-07-31,3527,50,SZ002800,35,False
2019-08-01,2019-07-31,3527,50,SZ300460,36,False
2019-08-01,2019-07-31,3527,50,SZ300736,37,False
2019-08-01,2019-07-31,3527,50,SH603330,38,False
2019-08-01,2019-07-31,3527,50,SH603088,39,False
2019-08-01,2019-07-31,3527,50,SZ000004,40,False
2019-08-01,2019-07-31,3527,50,SH603879,41,False
2019-08-01,2019-07-31,3527,50,SZ000692,42,False
2019-08-01,2019-07-31,3527,50,SH600778,43,False
2019-08-01,2019-07-31,3527,50,SZ300557,44,False
2019-08-01,2019-07-31,3527,50,SH600099,45,False
2019-08-01,2019-07-31,3527,50,SZ002213,46,False
2019-08-01,2019-07-31,3527,50,SZ002760,47,False
2019-08-01,2019-07-31,3527,50,SH603041,48,False
2019-08-01,2019-07-31,3527,50,SZ002778,49,False
2019-08-01,2019-07-31,3527,50,SZ300606,50,False
2019-09-02,2019-08-30,3530,50,SH600306,1,True
2019-09-02,2019-08-30,3530,50,SZ000691,2,True
2019-09-02,2019-08-30,3530,50,SZ300665,3,True
2019-09-02,2019-08-30,3530,50,SZ002633,4,True
2019-09-02,2019-08-30,3530,50,SZ002209,5,True
2019-09-02,2019-08-30,3530,50,SZ300029,6,True
2019-09-02,2019-08-30,3530,50,SH603269,7,True
2019-09-02,2019-08-30,3530,50,SZ002890,8,True
2019-09-02,2019-08-30,3530,50,SZ300321,9,True
2019-09-02,2019-08-30,3530,50,SZ002473,10,True
2019-09-02,2019-08-30,3530,50,SZ000679,11,False
2019-09-02,2019-08-30,3530,50,SZ000502,12,False
2019-09-02,2019-08-30,3530,50,SH603029,13,False
2019-09-02,2019-08-30,3530,50,SH603286,14,False
2019-09-02,2019-08-30,3530,50,SZ300592,15,False
2019-09-02,2019-08-30,3530,50,SZ000835,16,False
2019-09-02,2019-08-30,3530,50,SZ000929,17,False
2019-09-02,2019-08-30,3530,50,SH603729,18,False
2019-09-02,2019-08-30,3530,50,SZ002112,19,False
2019-09-02,2019-08-30,3530,50,SZ300442,20,False
2019-09-02,2019-08-30,3530,50,SH603088,21,False
2019-09-02,2019-08-30,3530,50,SZ000609,22,False
2019-09-02,2019-08-30,3530,50,SZ300626,23,False
2019-09-02,2019-08-30,3530,50,SZ300535,24,False
2019-09-02,2019-08-30,3530,50,SZ002715,25,False
2019-09-02,2019-08-30,3530,50,SH600561,26,False
2019-09-02,2019-08-30,3530,50,SZ300680,27,False
2019-09-02,2019-08-30,3530,50,SH603991,28,False
2019-09-02,2019-08-30,3530,50,SH603879,29,False
2019-09-02,2019-08-30,3530,50,SZ300736,30,False
2019-09-02,2019-08-30,3530,50,SH603330,31,False
2019-09-02,2019-08-30,3530,50,SZ300022,32,False
2019-09-02,2019-08-30,3530,50,SZ002921,33,False
2019-09-02,2019-08-30,3530,50,SZ300721,34,False
2019-09-02,2019-08-30,3530,50,SH603725,35,False
2019-09-02,2019-08-30,3530,50,SZ300521,36,False
2019-09-02,2019-08-30,3530,50,SH600768,37,False
2019-09-02,2019-08-30,3530,50,SZ002778,38,False
2019-09-02,2019-08-30,3530,50,SZ002760,39,False
2019-09-02,2019-08-30,3530,50,SZ300362,40,False
2019-09-02,2019-08-30,3530,50,SZ300517,41,False
2019-09-02,2019-08-30,3530,50,SZ300106,42,False
2019-09-02,2019-08-30,3530,50,SH600099,43,False
2019-09-02,2019-08-30,3530,50,SZ000638,44,False
2019-09-02,2019-08-30,3530,50,SZ300557,45,False
2019-09-02,2019-08-30,3530,50,SZ300606,46,False
2019-09-02,2019-08-30,3530,50,SZ002667,47,False
2019-09-02,2019-08-30,3530,50,SH600137,48,False
2019-09-02,2019-08-30,3530,50,SZ000692,49,False
2019-09-02,2019-08-30,3530,50,SH600778,50,False
2019-10-08,2019-09-30,3540,50,SH600306,1,True
2019-10-08,2019-09-30,3540,50,SZ300029,2,True
2019-10-08,2019-09-30,3540,50,SZ300665,3,True
2019-10-08,2019-09-30,3540,50,SZ000502,4,True
2019-10-08,2019-09-30,3540,50,SZ000691,5,True
2019-10-08,2019-09-30,3540,50,SZ000835,6,True
2019-10-08,2019-09-30,3540,50,SH603269,7,True
2019-10-08,2019-09-30,3540,50,SZ002633,8,True
2019-10-08,2019-09-30,3540,50,SZ000679,9,True
2019-10-08,2019-09-30,3540,50,SZ300592,10,True
2019-10-08,2019-09-30,3540,50,SZ002209,11,False
2019-10-08,2019-09-30,3540,50,SH603286,12,False
2019-10-08,2019-09-30,3540,50,SZ002890,13,False
2019-10-08,2019-09-30,3540,50,SZ000929,14,False
2019-10-08,2019-09-30,3540,50,SZ300321,15,False
2019-10-08,2019-09-30,3540,50,SZ300362,16,False
2019-10-08,2019-09-30,3540,50,SZ002112,17,False
2019-10-08,2019-09-30,3540,50,SZ000609,18,False
2019-10-08,2019-09-30,3540,50,SH603029,19,False
2019-10-08,2019-09-30,3540,50,SH603729,20,False
2019-10-08,2019-09-30,3540,50,SZ300022,21,False
2019-10-08,2019-09-30,3540,50,SZ002473,22,False
2019-10-08,2019-09-30,3540,50,SZ002715,23,False
2019-10-08,2019-09-30,3540,50,SH603991,24,False
2019-10-08,2019-09-30,3540,50,SH600561,25,False
2019-10-08,2019-09-30,3540,50,SH600137,26,False
2019-10-08,2019-09-30,3540,50,SZ300626,27,False
2019-10-08,2019-09-30,3540,50,SZ300736,28,False
2019-10-08,2019-09-30,3540,50,SH600768,29,False
2019-10-08,2019-09-30,3540,50,SZ300535,30,False
2019-10-08,2019-09-30,3540,50,SZ300680,31,False
2019-10-08,2019-09-30,3540,50,SH603088,32,False
2019-10-08,2019-09-30,3540,50,SZ002921,33,False
2019-10-08,2019-09-30,3540,50,SZ300106,34,False
2019-10-08,2019-09-30,3540,50,SZ000638,35,False
2019-10-08,2019-09-30,3540,50,SH600099,36,False
